F:\AMNIS_data\190724\3-lb\data\b10_merged.daf
All

Object Number	Area_M01	Area_M02	Aspect Ratio_M01	Aspect Ratio_M02	Gradient RMS_M01_Ch01	Gradient RMS_M02_Ch02	Intensity_MC_Ch01	Intensity_MC_Ch02
0	15.1111111111111	0	0.903585010925342	0	72.7572657408037	0	-139.724137931034	-2.10344827586204
1	15.5555555555556	15.5555555555556	0.68538416543889	0.717497124904157	67.8260844229565	39.4376654010561	1906.4	68984.9916666666
2	19.6666666666667	24	0.435153985746303	0.573791937194373	73.2193781623705	45.7438011660335	4035.3785714286	148159.275
3	11.1111111111111	0	0.959263191050143	0	73.5835502246543	0	-133.457142857146	15.6666666666666
4	12.7777777777778	0	0.901485555016139	0	71.8433589842425	0	-207.736842105265	50.5526315789475
5	16.6666666666667	0	0.879706798880863	0	71.1859764929027	0	-204.581896551717	90.5258620689654
6	15.2222222222222	0	0.903496997302768	0	72.8809091191494	0	-27.5215517241422	15.1853448275861
7	9.66666666666667	0	0.932818383965682	0	74.7969611474159	0	60.4900000000036	-4.50961538461535
8	12.5555555555556	0	0.918832029415703	0	71.4595680281582	0	-199.772727272728	73.6971153846154
9	15	0	0.91530894962171	0	72.7109075356706	0	39.3552631579014	14.5986842105265
10	10.4444444444444	0	0.917005566027743	0	73.7567295929088	0	-112.079999999996	63.0399999999997
11	18.7777777777778	0	0.721165833852504	0	72.7538893146809	0	269.930555555547	17.9444444444446
12	13.4444444444444	0	0.698947500722144	0	74.3557429471473	0	-159.18303571428	9.78571428571432
13	30.1111111111111	0	0.593232954863423	0	70.4839711825728	0	-115.912037037047	53.5555555555555
14	12.7777777777778	10	0.778077264150034	0.733259495886584	72.5227354699795	44.0292012124723	141.307692307688	6156
15	12.5555555555556	0	0.907522083282539	0	71.9335119168796	0	-220.3125	11.5192307692308
16	12.1111111111111	0	0.908461319539848	0	72.386290101766	0	-121.714999999993	49.57
