F:\AMNIS_data\pBGT-Bet-Hedging\chromosome\day-1_LB_chromosome\rep-1\A08-noBF.daf
All

Object Number	Area_M01	Area_M02	Area_M04	Aspect Ratio_M01	Aspect Ratio_M02	Aspect Ratio_M04	Gradient RMS_M01_Ch01	Gradient RMS_M02_Ch02	Gradient RMS_M04_Ch04	Intensity_MC_Ch02
0	0	8.55555555555555	0	0	0.684024745719711	0	0	37.3495422736157	0	1196.82954545455
1	0	9.33333333333333	0	0	0.681225520294571	0	0	38.0791783892383	0	1949.8511904762
2	0	10.7777777777778	0	0	0.54908281245742	0	0	39.0779497334742	0	1581.16666666667
3	0	12.5555555555556	0	0	0.586231375809622	0	0	41.1892133099065	0	2099.16379310345
4	0	8.77777777777778	0	0	0.537434975267152	0	0	38.3697007660184	0	1262.26470588235
5	0	9.22222222222222	0	0	0.606419723233048	0	0	39.0660334611964	0	1779.08189655172
6	0	10.6666666666667	0	0	0.508592724543327	0	0	41.3887160701926	0	1697.33333333333
7	0	6.88888888888889	0	0	0.70680528905658	0	0	38.8811783071909	0	1341.95652173913
8	0	5	0	0	0.491191301064151	0	0	42.4586621163097	0	749.187499999998
9	0	9.11111111111111	0	0	0.523206444073678	0	0	42.7881496945235	0	1373.60483870968
10	0	9.55555555555555	0	0	0.451156921903477	0	0	36.7556811598758	0	1171.88362068966
11	0	7.44444444444444	0	0	0.636943365799141	0	0	42.3523187026891	0	1065.44827586207
12	0	8.88888888888889	0	0	0.634818943823555	0	0	40.0250672098328	0	1328.5
13	0	6.55555555555555	0	0	0.763856208173133	0	0	43.8483925838568	0	1183.9435483871
14	0	11.8888888888889	0	0	0.394664702710813	0	0	41.6644630398911	0	2161.75
15	0	10.7777777777778	0	0	0.518246354344914	0	0	40.214438377549	0	1887.52364864865
16	0	6.77777777777778	0	0	0.6330460676574	0	0	43.3980107710879	0	1198.68548387097
17	0	7.66666666666667	0	0	0.69959892107819	0	0	40.6860658820576	0	1016.31034482759
18	0	22.1111111111111	0	0	0.244144964397036	0	0	36.952120458241	0	3153.59459459461
19	0	12.7777777777778	0	0	0.429325080746848	0	0	36.1651923609314	0	1925
20	0	10.4444444444444	0	0	0.458020208184147	0	0	40.2302174259382	0	1757.10714285713
21	0	6.77777777777778	0	0	0.633915217302694	0	0	41.7735082591477	0	1119.14285714286
22	0	9.11111111111111	0	0	0.397606985454725	0	0	39.8016415772141	0	1169.50714285714
23	0	6.44444444444444	0	0	0.597149380704877	0	0	40.7046330585277	0	936.685344827589
24	0	11.2222222222222	0	0	0.667238825619014	0	0	33.1861465159689	0	2088
25	0	9.55555555555555	0	0	0.469627432850908	0	0	40.3477176757953	0	1417.5294117647
26	0	8.55555555555555	0	0	0.530501466581912	0	0	42.1030769262266	0	1239.79838709678
27	0	13.2222222222222	0	0	0.333121881200001	0	0	36.4362161514882	0	2215.19117647059
28	0	5.44444444444444	0	0	0.963501987064599	0	0	38.0771801798123	0	843.818181818181
29	0	7.77777777777778	0	0	0.706368825774626	0	0	42.2346243369635	0	1249
30	0	5.77777777777778	0	0	0.736261518705184	0	0	44.3118050168845	0	975.732758620689
31	0	5.88888888888889	0	0	0.789373990987674	0	0	42.8556013965851	0	865.3359375
32	0	3.66666666666667	0	0	0.931891116296093	0	0	49.1767443688011	0	472.350000000001
33	0	7.66666666666667	0	0	0.630595576844823	0	0	41.7602785906398	0	1318.68981481482
34	0	21.3333333333333	0	0	0.223019359275009	0	0	40.8850919031858	0	4013.79729729726
35	0	7.22222222222222	0	0	0.603303347149297	0	0	40.2945728964163	0	1004.5625
36	0	4.55555555555556	0	0	0.61348014953133	0	0	40.872212120169	0	583.056818181818
