F:\AMNIS_data\pBGT-Bet-Hedging\chromosome\day-2_AMP_chromosome\rep-1\A11-noBF.daf
All

Object Number	Area_M01	Area_M02	Area_M04	Aspect Ratio_M01	Aspect Ratio_M02	Aspect Ratio_M04	Gradient RMS_M01_Ch01	Gradient RMS_M02_Ch02	Gradient RMS_M04_Ch04	Intensity_MC_Ch02
0	6.11111111111111	17.4444444444444	9.44444444444444	0.729166409455467	0.853551687126544	0.805441266373995	32.0125246228757	34.5576904647832	33.9983231304684	23689.25
1	0	22.4444444444444	8.77777777777778	0	0.931819079947973	0.835766331475001	0	27.9434235717982	27.677119312524	25219.26171875
2	8	19.5555555555556	8.55555555555555	0.732493150266104	0.752379466067721	0.765695010209279	28.9259685920198	31.2080401077228	31.123241619109	25689.6357142857
3	4.22222222222222	10.6666666666667	3.11111111111111	0.817366179996231	0.94576249131435	0.837667444149498	46.2332909058745	44.2231141618786	39.9510928033104	11453.3484848485
4	3.66666666666667	7.22222222222222	3.33333333333333	0.827460718150449	0.8669495616547	0.682656148786289	48.2284254306537	49.9347798889035	51.9270702048166	8882.7962962963
5	0	14	0	0	0.63183845731684	0	0	39.7684348329993	0	7271.4027777778
6	0	11.3333333333333	0	0	0.767222197327683	0	0	40.3880100442298	0	5848.93981481481
7	6.55555555555555	14.2222222222222	8.11111111111111	0.564642343811341	0.716595099059568	0.617286714355084	36.203498934453	36.0484878396208	35.9337150103607	15896.9196428572
8	9.55555555555555	19.5555555555556	9.55555555555555	0.709126994029039	0.768055323381364	0.627491731121855	31.5045781398239	32.7955710742563	33.7208214948388	32330.7386363637
9	0	23	0	0	0.430698694575859	0	0	30.6198732075227	0	6792.07142857146
10	0	18.3333333333333	0	0	0.614854157739654	0	0	34.006541467489	0	16990.3306451613
11	0	10	0	0	0.757862357086385	0	0	43.2259653226266	0	5566.89655172415
12	0	21.4444444444444	0	0	0.965867448788994	0	0	30.6114811178254	0	15305.696969697
13	0	16.3333333333333	0	0	0.700283452801779	0	0	36.1538966356544	0	14665.5
14	0	9.44444444444444	0	0	0.790751342175077	0	0	42.5771621704337	0	11512.75
15	5.33333333333333	7.55555555555555	4.11111111111111	0.747559461010645	0.701131568694857	0.692279146505432	46.1136293086524	47.1522574638265	47.7277907846613	9528.40277777779
16	0	7.22222222222222	0	0	0.820028653046425	0	0	47.3957497081794	0	4368.84615384615
17	0	8.88888888888889	0	0	0.742884485315912	0	0	43.1155142976221	0	5011.65277777778
18	0	7.11111111111111	0	0	0.632143347502719	0	0	40.685292815116	0	1239.1875
19	0	10.5555555555556	0	0	0.539815262112652	0	0	42.9267989865144	0	10650.3375
20	4.55555555555556	9.22222222222222	6.11111111111111	0.622320223384783	0.744234101363463	0.757264540979753	41.3670580634523	42.5951843998705	42.8172300077075	13993.0758928571
