F:\AMNIS_data\pBGT-Bet-Hedging\chromosome\day-2_AMP_chromosome\rep-2\B02-noBF.daf
All

Object Number	Area_M01	Area_M02	Area_M04	Aspect Ratio_M01	Aspect Ratio_M02	Aspect Ratio_M04	Gradient RMS_M01_Ch01	Gradient RMS_M02_Ch02	Gradient RMS_M04_Ch04	Intensity_MC_Ch02
0	0	8.33333333333333	0	0	0.5671832426297	0	0	36.4315591037204	0	1075.53333333334
1	0	12.5555555555556	0	0	0.505562878377549	0	0	34.8915480241613	0	1547.35810810811
2	0	5.33333333333333	0	0	0.787392939072987	0	0	44.7003304797172	0	663.260416666666
3	0	10.5555555555556	0	0	0.46236349994178	0	0	40.1263108040623	0	1225
4	0	6	0	0	0.781113830948647	0	0	40.5358031847822	0	818.239999999999
5	0	4.77777777777778	0	0	0.974699025629133	0	0	47.1754733400479	0	840.405172413792
6	0	7.22222222222222	0	0	0.504423499550822	0	0	41.0234122459808	0	994.674107142858
7	0	9.33333333333333	0	0	0.56198117940833	0	0	37.1722214581464	0	1208.72972972973
8	0	8.77777777777778	0	0	0.471801115140265	0	0	38.4913772490184	0	1101.38793103448
9	0	5.88888888888889	0	0	0.552346776739323	0	0	43.0839405128789	0	836.545454545455
10	0	6.22222222222222	0	0	0.604398785345004	0	0	40.5331929182641	0	824.322115384616
11	0	6.11111111111111	0	0	0.662286384950559	0	0	42.8004540300577	0	744.017857142857
12	0	9.11111111111111	0	0	0.586725750932621	0	0	37.8266604115827	0	1074.97321428571
13	0	18.6666666666667	0	0	0.254549931299775	0	0	36.6861584297683	0	2277.62500000001
14	0	10.1111111111111	0	0	0.459874070258115	0	0	39.5145197042982	0	1286.6875
15	0	15.4444444444444	0	0	0.451608426854437	0	0	38.560031601241	0	1536.97777777777
16	0	13	0	0	0.757067148597371	0	0	33.602795921289	0	1581.70512820512
17	0	7.44444444444444	0	0	0.633652984912246	0	0	41.2461658603484	0	1162.5
18	0	11.2222222222222	0	0	0.288585762236276	0	0	41.0723371438341	0	1382.41785714285
19	0	9.77777777777778	0	0	0.446388218123227	0	0	39.0105664050114	0	1131.8
20	0	19.7777777777778	0	0	0.895400095951522	0	0	29.7637460947997	0	7324.06640625
21	0	18.1111111111111	0	0	0.442651226472881	0	0	34.7309684103243	0	2202.34375
22	0	7.11111111111111	0	0	0.743108414565079	0	0	37.4562692067204	0	875.913793103447
23	0	5.11111111111111	0	0	0.735053439970549	0	0	44.4428839760056	0	658.350961538461
24	0	16.5555555555556	0	0	0.487948702731404	0	0	34.6184553607587	0	2128.2
25	0	45.7777777777778	0	0	0.264116126992182	0	0	29.8827361951444	0	3862.07978723402
26	0	6	0	0	0.755648888424527	0	0	40.8872141963307	0	691.583333333334
27	0	4.22222222222222	0	0	0.81511587294991	0	0	42.094930694896	0	545.395833333333
28	0	12.3333333333333	0	0	0.894340491132032	0	0	33.9649620109405	0	2028.32692307692
29	0	18.2222222222222	0	0	0.382476132196129	0	0	33.4086728926754	0	2053.09375
30	0	5.44444444444444	0	0	0.661747182328377	0	0	41.9291376764186	0	796.666666666668
31	0	4.77777777777778	0	0	0.917465778507082	0	0	41.9873316163119	0	637.37
32	0	20.8888888888889	0	0	0.319016568963353	0	0	35.3164880282801	0	2238.42708333335
33	0	6.11111111111111	0	0	0.497590521156665	0	0	43.9346155053166	0	875.464285714287
34	0	9.66666666666667	0	0	0.361970057721306	0	0	37.8365915575525	0	1096.79310344828
35	0	6.55555555555555	0	0	0.816619781052022	0	0	43.2918966738656	0	760.379310344829
36	0	9.11111111111111	0	0	0.638722701647151	0	0	41.9575816571563	0	1000.23355263158
37	0	3.66666666666667	0	0	0.931891116296094	0	0	48.0862491511233	0	398.711538461538
38	0	14.2222222222222	0	0	0.611216514226985	0	0	34.6144970500586	0	1551.40243902438
39	0	4.66666666666667	0	0	0.767020206836067	0	0	43.5164170394228	0	645.2
40	0	5	0	0	1	0	0	41.8657600974329	0	614.083333333334
41	0	10	0	0	0.484802403058498	0	0	37.9946893709913	0	1310.55448717948
42	0	5.22222222222222	0	0	0.845856657462197	0	0	45.5679917770422	0	764.671875
