F:\AMNIS_data\pBGT-Bet-Hedging\checks\chr_day-3_LB_B10.daf
All

Object Number	Area_M01	Area_M02	Area_M04	Aspect Ratio_M01	Aspect Ratio_M02	Aspect Ratio_M04	Gradient RMS_M01_Ch01	Gradient RMS_M02_Ch02	Gradient RMS_M04_Ch04	Intensity_MC_Ch02
0	0	5.11111111111111	28.7777777777778	0	0.809995937360954	0.423553013919576	0	47.834572277346	76.7030755004067	555.080882352933
1	0	9.33333333333333	28.7777777777778	0	0.432017225722727	0.681155178568693	0	40.2699060876583	65.1252272313137	1524.63858695652
2	0	17.4444444444444	39.2222222222222	0	0.363808052324179	0.413258897415873	0	40.1215157568916	71.2670675247029	1946.10661764706
3	0	13	84.5555555555555	0	0.145281151834833	0.389278999897235	0	40.1857453960957	59.892767477108	2763.8823529412
4	0	18	53.6666666666667	0	0.284571428888059	0.527908144770168	0	40.371005050222	68.5814483919195	2389.16666666665
5	0	4.66666666666667	13.3333333333333	0	0.916313994439422	0.645841737938286	0	47.3360287999307	66.5314752549628	794.717592592595
6	0	7.22222222222222	38.5555555555556	0	0.914301262574039	0.659035022403706	0	37.6768745207798	55.8948171451391	2212.95312499999
7	0	5.22222222222222	15.4444444444444	0	0.848273115345178	0.956336146244202	0	43.6604237217871	66.2260588366635	789.163793103445
8	0	17.6666666666667	43.5555555555556	0	0.744481193295432	0.703856599264331	0	39.6927790360469	73.0169010543875	2092.68750000002
9	0	4.66666666666667	60.2222222222222	0	0.723966588664344	0.661617667842443	0	42.9480962486854	64.8805788455427	1482.07142857144
10	0	10.1111111111111	16.7777777777778	0	0.474914333654909	0.415386942623216	0	40.4125788846072	78.863904613627	1733.36842105264
11	0	17.6666666666667	40.4444444444444	0	0.403213349761475	0.566756357830102	0	38.028678039278	71.3825626828706	2806.86989795918
12	0	8	49.5555555555556	0	0.70327754109833	0.435240802527837	0	35.2783841125062	66.7897144911343	1407.45192307692
13	0	7.55555555555555	35.4444444444444	0	0.869094176762994	0.46564002084292	0	44.8875468860106	64.3829463870276	1268.90000000001
14	0	20.6666666666667	95.6666666666667	0	0.508929905099774	0.652254450772386	0	33.8886588123794	67.3128306107898	4319.92824074075
15	0	12.3333333333333	69.2222222222222	0	0.241821002488751	0.357169112107396	0	36.9485105453508	60.2884934136695	2287.79166666665
16	0	7.44444444444444	20.6666666666667	0	0.775567096622964	0.849178419652022	0	37.1558074865653	62.4407097870779	1134.2
17	0	5.88888888888889	14.8888888888889	0	0.650547771392998	0.736015225594773	0	41.7160035851187	74.5506636210677	896.354166666669
18	0	5.11111111111111	9	0	0.864193149917573	0.656823842677541	0	46.176137182975	76.1855881964587	803.22685185185
19	0	5.66666666666667	35.3333333333333	0	0.884959389907173	0.654639386298887	0	41.9524348815253	65.2022661592745	1336.41666666667
20	0	8.77777777777778	15	0	0.752579191777502	0.65864535781924	0	35.9816443981782	73.9367265347787	1155.875
21	0	8	19.4444444444444	0	0.880092495808069	0.904736751255926	0	38.5534550101157	61.7108559439024	1176.90909090909
22	0	5.33333333333333	11.7777777777778	0	0.860327555214608	0.599366610371953	0	40.8075704234922	76.197685619999	682.6875
23	0	6.33333333333333	12.3333333333333	0	0.743693831766818	0.420624367108152	0	41.3707638346639	76.5064794305005	978.467592592593
24	0	6.77777777777778	11.7777777777778	0	0.485299153457522	0.636944821915522	0	41.9384023611809	76.2075907972379	1018.24107142857
25	0	4.88888888888889	16.4444444444444	0	0.728571452362392	0.681203508964887	0	41.8367205850569	69.8572358973884	827.649999999998
26	0	7.44444444444444	16.8888888888889	0	0.64341311654767	0.752732349515186	0	35.0689738834686	71.1486224941147	1231.91129032258
27	0	8	13.5555555555556	0	0.627780649532374	0.685683744109015	0	39.7724332456241	76.8150657644827	1311.51515151515
28	0	4.44444444444444	9.44444444444444	0	0.858929503911393	0.932388301217842	0	48.1439870255911	70.1360913668179	774.027777777776
29	0	6.66666666666667	26.2222222222222	0	0.640941944702952	0.384479998935175	0	41.0701522503226	73.5730302630264	859.704545454537
30	0	8	14	0	0.635894287926768	0.650466648397406	0	36.9440440898046	75.6828440331459	1145.5
31	0	5.55555555555555	10.7777777777778	0	0.623588486886515	0.69332753824226	0	41.9362649286897	76.9553499964123	846.999999999998
32	0	18	40	0	0.481894149511472	0.604599672181961	0	29.391082696039	67.8228733805052	2663.63815789477
33	0	12.4444444444444	19.6666666666667	0	0.268080020310618	0.376926308556637	0	42.8047208364596	66.459649130511	1741.90322580645
34	0	8	37.6666666666667	0	0.647284533040789	0.50503791996102	0	37.917479516911	66.1343456854409	1362.38888888889
35	0	5.22222222222222	15.6666666666667	0	0.729285961864835	0.724277066496476	0	42.1424590526927	72.4194590714717	816.310344827583
36	0	8.33333333333333	17.6666666666667	0	0.612192833184199	0.660385796466879	0	38.7822170690807	69.3075547318857	1180.41379310345
37	0	6.33333333333333	17.4444444444444	0	0.834047299683765	0.916765921265758	0	41.0685518911091	63.7442295713245	849.099999999997
38	0	4.77777777777778	9.77777777777778	0	0.632454656395188	0.722381138076428	0	46.4139889407353	73.8789587334919	663.840000000001
39	0	7.11111111111111	50.6666666666667	0	0.747680551291363	0.436529581077572	0	41.6183735488601	64.7599560073622	1074.21621621622
40	0	11.3333333333333	26.8888888888889	0	0.683572032253055	0.695691714705687	0	38.0087597657418	65.3732551347994	2731.60197368422
41	0	5.11111111111111	8.11111111111111	0	0.842992478070724	0.758243378713105	0	42.3236352455042	73.6599365046087	699
42	0	7.77777777777778	36.1111111111111	0	0.750809916657907	0.435482076109563	0	41.0348443094599	71.2942337379464	1160.52364864865
43	0	18.5555555555556	81.3333333333333	0	0.179948496716493	0.589961230424365	0	37.8031618145492	61.0204776636323	3017.50438596485
