G:\pBGT-AMNIS\190517\AMP2\pBGT-AMP+SB\data\D01_11.daf
All

Object Number	Area_M01	Area_M02	Aspect Ratio_M01	Aspect Ratio_M02	Gradient RMS_M01_Ch01	Gradient RMS_M02_Ch02	Intensity_MC_Ch02	Intensity_MC_Ch04
0	23.2222222222222	26	0.922439503045539	0.860579444731735	57.434733661189	25.6397677032135	22246.9475806451	758.842741935487
1	13.3333333333333	0	0.919999628647762	0	77.124128413239	0	38.0483870967742	28.5806451612899
2	9.88888888888889	0	0.952845503217312	0	77.0831311503948	0	117.33984375	89.65234375
3	18.7777777777778	19.4444444444444	0.531338363547156	0.590425148260434	66.5206917842781	40.8588931535101	121102.3203125	4432.12109375
4	10.7777777777778	0	0.877437971826207	0	77.0499101987463	0	25.8942307692307	-33.5192307692306
5	25.4444444444444	23.3333333333333	0.755466755875155	0.75626871721082	59.8776485044798	28.9998889715803	67956.4500000001	2391.06428571428
6	9.55555555555555	0	0.917424524586072	0	77.1924211959493	0	115.58064516129	45.1290322580644
7	9.88888888888889	0	0.803416503673975	0	76.5228353926883	0	92.9044117647056	-7.45588235294065
8	13.6666666666667	0	0.953486572175378	0	76.8399018806944	0	-22.1442307692308	-23.1538461538458
9	13.3333333333333	0	0.884063139841413	0	75.5301432255851	0	-1.05078125	33.265625
10	14.8888888888889	14.4444444444444	0.599381884504654	0.750396227400918	71.5442374016776	37.604334231003	43978.95	1612.25
11	8.44444444444444	0	0.945827857557178	0	75.7851949128517	0	56.96875	16.87890625
12	23.2222222222222	21.2222222222222	0.855366614191855	0.822670755880025	56.099696507225	29.3441200747035	81095.578125	2699.125
13	10.4444444444444	0	0.948739890705202	0	77.2290545336213	0	86.23046875	30.79296875
14	12.2222222222222	0	0.91087390546213	0	76.736238609506	0	38.71484375	33.4453125
15	11	0	0.93656241297223	0	75.7287562320119	0	66.5528846153849	4.53846153846114
16	19.6666666666667	13.5555555555556	0.796879291181285	0.756905725768686	65.2438954069335	37.2107872757986	32672.3379629629	1137.58796296297
17	9.44444444444444	0	0.896831595587119	0	77.3962719211244	0	47.1136363636365	12.2954545454545
18	44.6666666666667	25.2222222222222	0.444533939807732	0.433992193364511	58.8907350068613	28.3599241317233	8857.13942307683	415.947115384621
19	11.2222222222222	9.66666666666667	0.754076596747537	0.786950514431274	69.9618947363916	46.7270332292427	27578.301724138	1051.62068965517
20	12.6666666666667	8.22222222222222	0.678652705661369	0.729092663582117	72.3462762949498	44.4567169790238	2673.15217391304	45.3804347826088
21	14.8888888888889	12.3333333333333	0.701780418395597	0.743389529488112	69.7180625597593	43.0772670431897	40117.6465517241	1411.1422413793
22	10.1111111111111	0	0.905650889789783	0	77.1629619515848	0	26.625	-13.40625
23	8.44444444444444	0	0.87540934385208	0	76.508158970703	0	70.2608695652176	13.4347826086955
24	12.3333333333333	0	0.833208694853803	0	76.6315231399893	0	95.8125	12.03515625
25	24.7777777777778	40.3333333333333	0.894188484063134	0.911622168540617	58.8061572357939	23.0076711493746	53537.4007352935	1984.08823529411
26	12	0	0.908832005045355	0	76.4186460287918	0	32.5	-8.22983870967753
27	14.6666666666667	8.44444444444444	0.761207792012517	0.704117852596792	72.23548724471	40.7880134067061	2127.78999999999	38.2600000000003
28	25.1111111111111	28.5555555555556	0.931046481076661	0.859668333863923	55.8435205488472	23.5832015855648	15123.32421875	555.80859375
29	13.1111111111111	0	0.906144689083304	0	77.224687733427	0	30.92578125	-24.75390625
30	12.3333333333333	11.7777777777778	0.628326583031424	0.656515862071438	72.5828543368325	43.46567499906	24981.3830645162	930.967741935481
31	16.4444444444444	19.2222222222222	0.580379427448272	0.699424433062875	62.9899391675212	35.7371990076719	60688.0182926832	2158.21341463414
32	38	23.2222222222222	0.472034371682788	0.375185487201362	70.1215778015588	30.670803042626	4734.88461538464	276.403846153849
33	8.33333333333333	0	0.962699423489119	0	75.9570885154883	0	67.3104838709681	4.88306451612875
34	10.7777777777778	0	0.94898843800807	0	76.9906950979965	0	92.7884615384613	16.1586538461537
35	10.5555555555556	0	0.832358723291528	0	77.1450925763528	0	60.1153846153845	-25.3846153846155
36	23.5555555555556	17.3333333333333	0.783489136482216	0.76440300707566	60.7220547869645	31.3024631882674	29337.1699999999	1094.71
37	15	7.22222222222222	0.977327397642537	0.946058459261572	67.7792218960314	48.5537152317547	3214.04	135.76
38	14.4444444444444	13.3333333333333	0.570864562913106	0.630029432870218	74.4878598006691	43.8367079418992	32867.43359375	1235.45703125
39	8.66666666666667	0	0.94874517546157	0	76.1537775627992	0	48.4921875	-18.609375
40	9.44444444444444	0	0.938210681406237	0	77.1517843373204	0	31.5887096774195	-14.1129032258062
41	9.66666666666667	0	0.964003408813078	0	77.0172381652855	0	63.8413461538463	2.03846153846157
42	12.3333333333333	0	0.968312047954623	0	76.1992232656208	0	83.1015625	-12.96875
43	19.8888888888889	5	0.665683253217261	1	66.2026158435149	50.0197843033651	2173.34615384616	121.115384615384
44	17.1111111111111	13.5555555555556	0.542686349620486	0.546515172650914	73.6573244399141	43.5750399636253	27107.9838709678	883.362903225803
45	30.6666666666667	20.4444444444444	0.657091196392893	0.583030822260322	63.4335084233782	31.6131111597022	43573.5681818177	1508.90909090908
46	25.7777777777778	26.2222222222222	0.906765140693119	0.837601559244039	56.323487885278	27.8411080257156	74056.4838709675	2568.70967741935
47	10.5555555555556	0	0.845333139106544	0	77.240065466078	0	56.0322580645161	-38.7419354838712
48	10.4444444444444	0	0.946163506605919	0	77.3855629999674	0	40.9375000000001	-45.3124999999999
49	11.8888888888889	0	0.965479033028216	0	76.5681129799725	0	79.1041666666668	-8.44444444444424
50	13.6666666666667	0	0.902151377815212	0	77.0747452120749	0	60.0166666666669	-27.1999999999999
51	19.3333333333333	34.1111111111111	0.857438350250877	0.936514834579917	59.7274185483867	25.1544349653226	28218.328125	1128.8359375
52	17.3333333333333	13.4444444444444	0.659582940017931	0.63678136241321	70.5067901814451	40.7243340820227	29725.875	983.999999999999
53	18	8.66666666666667	0.975057161210369	0.905715103927607	65.4851056281339	30.6538694193736	1577.328125	180.734375000001
54	10.2222222222222	0	0.785404916108087	0	76.5380862995347	0	93.1451612903222	5.18548387096764
55	9.55555555555555	0	0.990051103893753	0	77.3860461304113	0	57.8709677419354	33.7741935483869
56	20.7777777777778	33.6666666666667	0.882473586822792	0.94409708263045	61.8271009015825	24.0161693640889	35342.0403225806	1243.89112903226
57	9.88888888888889	2.77777777777778	0.941219542203868	1	77.0294928290097	72.4939937038745	139.307692307692	-26.3846153846152
58	8.55555555555555	0	0.925639392215117	0	76.3590645486709	0	71.8629032258062	4.04838709677402
59	9.33333333333333	0	0.939584424072642	0	76.979462786289	0	27.5322580645161	9.56451612903204
60	26.5555555555556	13.4444444444444	0.529728100375422	0.425948409279541	72.6062583790353	38.9332502161351	4310.90999999999	172.014999999999
61	10.3333333333333	0	0.893090279232539	0	77.2159075325918	0	8.69230769230765	-13.3846153846152
62	28.6666666666667	25.1111111111111	0.849695721778252	0.773716097916539	57.6728058893845	26.8698927470539	37854.1612903229	1309.93548387096
63	13.5555555555556	16.1111111111111	0.517755803610756	0.643829975188766	67.1336667596596	37.7924024009078	52319.375	1890.9342105263
64	13.1111111111111	0	0.956983993613507	0	76.9120193787671	0	3.75	20.0096153846149
65	23.2222222222222	29.2222222222222	0.579853448802653	0.711324779712646	61.8902956516231	37.3387866194954	252145.673076922	10539.3846153845
66	10.2222222222222	0	0.896814158908247	0	76.569256657881	0	47.8951612903225	2.57661290322586
67	15	0	0.950376743621417	0	76.8973093787415	0	36.1077586206898	37.2801724137929
68	8.77777777777778	0	0.94021246762951	0	77.2988092463057	0	34.3888888888887	66.0555555555558
69	19.3333333333333	0	0.893936730715048	0	71.6436495954649	0	48.8588709677418	-67.2862903225805
70	21.5555555555556	1.33333333333333	0.949096849424539	0.730296743340221	62.7543918609174	40.8879750944311	311.239583333334	222.416666666668
71	9.88888888888889	0	0.962829793916512	0	77.1023386497373	0	76.418269230769	-0.0625
72	17	13	0.746574776213338	0.772575440799003	68.5497642482167	43.6913857921171	46066.2016129032	1642.72983870967
73	9.77777777777778	0	0.955316348693307	0	77.3910715866312	0	66.03515625	-1.15234375
74	12.7777777777778	0	0.900863063633809	0	75.8518299227543	0	41.36328125	-8.63671875
75	11.5555555555556	0	0.976498069006564	0	76.9722281453403	0	64.7692307692308	16.423076923077
76	34	31.2222222222222	0.664123498485243	0.672921150160258	58.4544101647838	24.1596963999617	54307.3076923076	1818.30769230768
77	11.3333333333333	0	0.698960692835343	0	77.0696896217971	0	62.0961538461534	2.44230769230747
78	12.1111111111111	0	0.861533103266641	0	76.3012113628289	0	43.2361111111112	7.19444444444488
