G:\pBGT-AMNIS\190517\lb3\pBGT-AMP+SB\data\E01_19.daf
All

Object Number	Area_M01	Area_M02	Aspect Ratio_M01	Aspect Ratio_M02	Gradient RMS_M01_Ch01	Gradient RMS_M02_Ch02	Intensity_MC_Ch02	Intensity_MC_Ch04
0	17.1111111111111	9.44444444444444	0.600987039523287	0.506613463979019	74.0246162097927	37.9768179069225	1295.85185185185	22.5925925925924
1	21.2222222222222	18.3333333333333	0.848595101334169	0.839625515680655	59.817451716695	27.3776527392235	5057.96153846153	118.76923076923
2	44	8	0.509456109977039	0.803687997227257	70.0440362948007	46.4445047245104	12581.6554054054	396.331081081078
3	35	35.1111111111111	0.672177323868708	0.692821132448836	58.0174978170164	22.9183079201091	32991.4705882356	1203.76470588236
4	29.1111111111111	27.1111111111111	0.769702411501483	0.783885868721249	64.3441772955137	30.9250028602945	48848.4963235298	1680.90808823531
5	29.2222222222222	50.1111111111111	0.731399987531038	0.986644457428128	62.1591873790756	21.2983224578125	30306.0945945944	919.621621621624
6	33.5555555555556	21.5555555555556	0.481321430212654	0.460824490379178	69.1382837669267	35.7608977465119	69647.4296875	2290.1328125
7	27.8888888888889	31.8888888888889	0.781458845186467	0.893659680260614	57.8980196475764	19.7967173005875	24701.0735294119	719.080882352945
8	34.7777777777778	13.5555555555556	0.560979218671695	0.847182451331042	66.3422076964994	41.2399278669021	33710.6621621622	1205.54054054054
9	63.8888888888889	45.5555555555556	0.518945887841806	0.427313206375486	62.7859057727897	32.3613635892792	130309.530000002	4480.34999999997
10	18.3333333333333	13.2222222222222	0.518307134410827	0.612145120946664	71.0558376018292	42.56316164405	38803.4128787879	1342.62121212121
11	22.2222222222222	13.2222222222222	0.742302831155515	0.873376405264436	61.7404736942355	23.7998317917908	21066.5263157894	647.896551724139
12	20	39	0.838990784973718	0.971368930533469	62.6971115869797	22.2776427868517	30665.7298387098	1053.79435483872
13	29.2222222222222	5.44444444444444	0.628714276227752	0.830856270812397	69.1810301593037	52.6555932590569	9596.72222222224	342.648148148149
14	22	21.1111111111111	0.746572511615298	0.767570087921184	60.5092536488958	29.6710353629014	47643.1733870968	1669.50403225807
15	67.3333333333333	26.5555555555556	0.566305733691247	0.594570765321093	56.5795573188404	31.0780534688145	255310.5	8825.41860465106
16	11.4444444444444	6.33333333333333	0.582229475215519	0.796344549702837	76.7150024237221	42.7835047945941	831.150000000002	80.0300000000004
17	35.4444444444444	53.6666666666667	0.880287370234552	0.824646103938677	55.0060847324035	19.2278879952121	39121.6041666668	1373.87847222223
18	27.2222222222222	19.8888888888889	0.673906270160037	0.674953568681174	64.6412853258526	30.5272027551969	22723.2163461538	875.5625
19	19.6666666666667	21.6666666666667	0.879729126080334	0.819498771883471	58.753182440275	29.0698617624169	38055.7333333333	1435.04166666666
20	22.2222222222222	16.5555555555556	0.767168750409332	0.782372204143015	64.6881577399955	35.3474480791153	28035.1583333332	1010.84166666667
21	23	14.6666666666667	0.691791995391556	0.657658963266421	67.676758364514	35.9954997174068	30947.9999999999	1045
22	23.4444444444444	21.8888888888889	0.938918215566221	0.904462085022924	58.6447973901433	27.20708902016	9549.79310344823	363.241379310342
23	25.4444444444444	22.4444444444444	0.580322731304615	0.673803678534875	64.3886370313579	30.5136675311653	34359.8125	1206.1
24	60.6666666666667	39.3333333333333	0.460677243306837	0.812647065380189	57.8477359872565	21.9416746760592	32871.7318181824	1016.3181818182
