F:\AMNIS_data\pBGT-Bet-Hedging\plasmid\day-1_LB_pBGT_re-read\rep-2\B07-noBF.daf
All

Object Number	Area_M01	Area_M02	Area_M04	Aspect Ratio_M01	Aspect Ratio_M02	Aspect Ratio_M04	Gradient RMS_M01_Ch01	Gradient RMS_M02_Ch02	Gradient RMS_M04_Ch04	Intensity_MC_Ch02
0	5.88888888888889	12.5555555555556	7.77777777777778	0.610234622920173	0.659467228136405	0.624291230753149	40.2857685161738	39.9012372065665	39.9609972343455	23702.2861842105
1	0	17.5555555555556	0	0	0.753475055888837	0	0	31.4000420414459	0	14951.3548387097
2	12.7777777777778	20.6666666666667	14.2222222222222	0.760355542116418	0.814982982015531	0.765698928620592	30.5726311697294	30.3953703587948	30.5593583090191	51187.1470588234
3	0	3.33333333333333	0	0	0.892538219111003	0	0	61.7662286820441	0	1012.5
4	0	11.3333333333333	6.11111111111111	0	0.548765361155471	0.432750293245872	0	42.9007439680441	42.5202767400392	18789.0725806452
5	7.11111111111111	15	8.66666666666667	0.474532820004647	0.594154882605981	0.45154916251457	42.0942764402408	41.7085745781498	41.8048367634467	33450.9047619048
6	0	13.3333333333333	0	0	0.413699171842974	0	0	37.6247413663267	0	2174.98275862069
7	9.33333333333333	18.2222222222222	11.6666666666667	0.684930741279125	0.757088711157925	0.759792387180388	32.6203064658347	32.9808538627045	33.3259880010947	37047.2499999999
8	15.4444444444444	32.7777777777778	20.4444444444444	0.355629588138746	0.428089323729302	0.358039765093628	38.7467864322584	40.0532878339582	40.8985418711311	60801.3833333339
9	0	5.33333333333333	0	0	0.884285722714357	0	0	54.0548011511996	0	1689.47916666667
10	0	11	0	0	0.973561464092395	0	0	36.3394082924376	0	3049.79910714286
11	0	11.5555555555556	0	0	0.528649865362237	0	0	41.8198635160507	0	3196.91346153845
12	11.2222222222222	24.8888888888889	12.5555555555556	0.597099055956163	0.652669632679838	0.528858988504105	28.9484287098663	29.0513510987065	27.8617312643442	38149.1909722221
