F:\AMNIS_data\pBGT-Bet-Hedging\plasmid\day-1_LB_pBGT\rep-1\A07-noBF.daf
All

Object Number	Area_M01	Area_M02	Area_M04	Aspect Ratio_M01	Aspect Ratio_M02	Aspect Ratio_M04	Gradient RMS_M01_Ch01	Gradient RMS_M02_Ch02	Gradient RMS_M04_Ch04	Intensity_MC_Ch02
0	10	16.2222222222222	10.2222222222222	0.751019586857043	0.875586584727123	0.836018777839464	40.8053165830066	41.5060929500185	39.4540351782148	59908.5670731708
1	5.55555555555555	10.8888888888889	7.44444444444444	0.653769535496997	0.723658922978966	0.700863311137824	42.9051681540326	44.0607331955321	44.8292908149861	26165.4642857144
2	0	14.8888888888889	0	0	0.45748055158638	0	0	41.4084879542458	0	4149.94354838708
3	7.11111111111111	12	7	0.655092954616616	0.646708950239012	0.591231005309025	41.5407606742909	43.0525497789476	42.836753938096	27308.391891892
4	9.55555555555555	17.2222222222222	9.77777777777778	0.64977715514414	0.763726955097568	0.687919840567596	31.6943473154674	31.1292069060638	32.0067655171662	28764.0431034482
5	0	14.1111111111111	0	0	0.566938774266919	0	0	36.4693880121208	0	9889.125
6	9.77777777777778	23.7777777777778	12.6666666666667	0.273417302706669	0.415613311810932	0.300635244166517	33.9801399323257	37.4203722595209	37.3030993556566	45981.2000000002
7	12.8888888888889	21.4444444444444	12.8888888888889	0.441853640118803	0.56470222629557	0.44631019571563	36.8433467553588	36.7956630367753	35.2255747004655	58075.0000000002
8	0	22.2222222222222	7.44444444444444	0	0.821582266808442	0.8152237854631	0	28.583836128859	27.1141597876931	24674.6000000001
9	0	14.1111111111111	0	0	0.797795451382463	0	0	37.2616469773314	0	13354.4838709678
10	6.44444444444444	16.4444444444444	7.77777777777778	0.728146673392291	0.737386655781328	0.713874427686621	33.7738298840453	35.2833740990735	35.3478800333798	26328.7242647059
11	0	8	0	0	0.781916115147478	0	0	43.2439756546577	0	1780.42129629629
12	8.55555555555555	18	9.22222222222222	0.396794397634788	0.499480845678286	0.416570174221737	35.6364011179235	38.1034594213756	39.0358777341958	26977.6321428571
13	11	15.6666666666667	12.7777777777778	0.507616701448611	0.513125967335841	0.522788480062374	40.3363996682919	41.2133398447285	40.7544958613083	51789.9797297296
14	8.11111111111111	19.1111111111111	9.88888888888889	0.727867455254106	0.757483996152535	0.730643876208009	32.2379005465629	32.0021389449604	33.3348315396036	30753.0208333334
15	16.3333333333333	23.3333333333333	15.4444444444444	0.320877369090267	0.404364926491666	0.320742872974569	38.6139603987909	38.7874276369484	38.8032772614524	67543.1428571428
16	6.55555555555555	15.3333333333333	6.77777777777778	0.771079807854622	0.811706841626991	0.777743864446826	33.2676665341472	34.1367558330128	34.1333892482432	22849.9999999999
17	7.22222222222222	13	6.88888888888889	0.760682353778795	0.852788077949935	0.810889680016615	43.7736713797689	44.1445575106576	45.432228718229	48093.5294117647
18	0	15.2222222222222	8.22222222222222	0	0.494928621387419	0.400178813562533	0	38.8863963592594	40.1524333007552	19045.8125
19	10.4444444444444	19.1111111111111	11.4444444444444	0.390462597260054	0.483586249499742	0.369427038980382	35.2007300213125	37.6875592793725	38.0585026763586	35434.3716216215
20	0	7.88888888888889	0	0	0.687353207702368	0	0	43.4712321054342	0	8494.67647058824
21	0	17.3333333333333	0	0	0.937266676097588	0	0	32.5685266130381	0	13869.6774193548
22	8.88888888888889	14.4444444444444	8.77777777777778	0.502493825220505	0.555699053130458	0.456688201952081	41.1634765110605	41.530620577528	42.5857085247087	31950.125
23	12.2222222222222	17.6666666666667	11.8888888888889	0.431106913887909	0.507198979897696	0.448147906100667	38.2711529012203	38.4270163752459	40.4398661579352	51853.3918918917
24	5.22222222222222	15.7777777777778	9.33333333333333	0.48642704807433	0.576147313639737	0.458622340409812	35.136662813234	38.8315040271019	39.2534712282598	38258.34375
25	0	15.7777777777778	6.55555555555555	0	0.829299564286653	0.748530887469125	0	31.9955742409136	30.9738408201186	17404.4318181818
26	16.4444444444444	27.2222222222222	16.3333333333333	0.42204913398844	0.484290681023177	0.402089409578514	33.0339864334907	33.226055933659	34.2065666924519	59568.0512820517
27	0	11.4444444444444	0	0	0.797065545167159	0	0	35.0402076229871	0	2155.22580645161
28	0	8.44444444444444	0	0	0.510791329098544	0	0	44.1748811997228	0	1665.18965517241
29	4.22222222222222	6.77777777777778	4.88888888888889	0.818419429894372	0.819855918338633	0.752961281011138	43.5260615772104	46.1092942780464	47.3667560029676	11861.85
30	3.66666666666667	8.11111111111111	3.77777777777778	0.944666501875486	0.921306315287224	0.996017507076946	46.5593262156729	48.6580472636794	45.6730157209071	11627.5443548387
31	10.8888888888889	23.1111111111111	0	0.57427962722335	0.733161239844015	0	27.768534769532	28.5717453240018	0	23432.1465517241
32	7	11.5555555555556	6.88888888888889	0.599869668606613	0.689549640416964	0.663668936419692	41.8015847038737	42.806400598506	43.870350830193	32666.1470588236
