F:\AMNIS_data\pBGT-Bet-Hedging\plasmid\day-1_LB_pBGT\rep-3\F08-noBF.daf
All

Object Number	Area_M01	Area_M02	Area_M04	Aspect Ratio_M01	Aspect Ratio_M02	Aspect Ratio_M04	Gradient RMS_M01_Ch01	Gradient RMS_M02_Ch02	Gradient RMS_M04_Ch04	Intensity_MC_Ch02
0	4.88888888888889	9	4.11111111111111	0.659155749287771	0.814505908281514	0.846888770257689	45.1594076757022	45.3308957985713	45.9634921925591	19265.2083333333
1	0	8.44444444444444	0	0	0.733476736516369	0	0	46.1443969731875	0	4865.41129032259
2	7.44444444444444	12.7777777777778	7	0.404674152027574	0.588261411552294	0.551614611535789	44.1351763262493	44.2020294421996	43.4617116495325	27287.0833333334
3	17.3333333333333	23.8888888888889	16.5555555555556	0.393904523125595	0.466122529125157	0.399449006630198	38.2282903723823	39.5844555112781	38.9604924442916	94590.0357142857
4	9.33333333333333	13.2222222222222	9	0.872642362863971	0.818396285962708	0.808474563009926	35.5516907143668	36.5640358307195	34.337493088255	35916.7115384615
5	0	15.7777777777778	0	0	0.807227630349087	0	0	33.1046987181064	0	9827.18518518516
6	0	22.4444444444444	0	0	0.798887805066782	0	0	28.3657766918306	0	26427.625
7	7	15.8888888888889	8.33333333333333	0.528847668113603	0.658543217797769	0.551128134533552	37.60381810117	38.5200313356418	38.1046383482053	32274.9880952382
8	8.44444444444444	18.3333333333333	8.33333333333333	0.479876876018655	0.626274722311051	0.498730565101381	37.4007353703513	38.0247135224832	37.075813293238	31904.5
9	8.55555555555555	16.5555555555556	8.77777777777778	0.486833484169807	0.620506213752444	0.493106888471078	40.3145932567308	39.6751833007576	39.716297074408	37235.75
10	18.5555555555556	26.1111111111111	18.2222222222222	0.424705719000641	0.512098828804988	0.448422092486735	30.0140398110763	29.7857132681687	30.4129412848626	76947.8616071426
11	11.2222222222222	17.8888888888889	11.5555555555556	0.60643628499252	0.646656822691516	0.613789886059766	38.0088138308648	37.993619283559	39.153508621971	61066.8484848484
12	0	4.22222222222222	0	0	0.750626930084373	0	0	46.7917384850381	0	553.636363636364
13	0	10.1111111111111	3.88888888888889	0	0.847024731515207	0.576338445346837	0	41.8858358785889	44.2077352168825	9867.79629629629
14	6.22222222222222	12.4444444444444	8	0.499457452643993	0.689320164468545	0.55663717189053	42.2374779209134	42.1030831084727	42.6223724655638	28490.5912162163
15	0	9.66666666666667	0	0	0.674753118623069	0	0	39.2807559607202	0	2705.33823529412
16	7.22222222222222	12.2222222222222	7.66666666666667	0.488846113802252	0.636320643801184	0.607957981998383	41.1831779879188	41.9612582006005	40.0540849318131	30485.3815789473
17	0	17.3333333333333	0	0	0.736465911988512	0	0	32.6816380996033	0	15720.75
18	7	15.5555555555556	7.11111111111111	0.551813675472275	0.614064027592411	0.556860137488949	37.2160655530759	36.7179497238811	36.3487804732698	26193.3345588235
19	24.3333333333333	35	27.4444444444444	0.458952226991848	0.541432839968077	0.49813586285489	27.1245421143778	27.3629822088814	27.4763548548869	127202.483870968
20	0	16.4444444444444	0	0	0.706459595709727	0	0	33.3316306872427	0	14895.03125
21	8.55555555555555	14.2222222222222	8.11111111111111	0.53062540905078	0.6511609398877	0.579428246943714	40.2727556383783	40.162588824321	40.9028110249122	40350.5416666667
22	7.44444444444444	18.2222222222222	11.5555555555556	0.470857363273159	0.632592333706071	0.534427980456148	35.8678854118548	37.2831994403841	36.0857595884949	38328.9186046509
23	9.88888888888889	20.3333333333333	9.33333333333333	0.803020693026842	0.801462227093108	0.792724825279996	27.8971071541589	28.3907160671756	26.9945497958344	37947.5454545454
24	0	12.1111111111111	5.44444444444444	0	0.518582763238031	0.406820904817822	0	41.9316274414082	43.0846235031856	15721.8181818182
25	8.55555555555555	18.1111111111111	8.55555555555555	0.394891497477119	0.5245695867284	0.417871457031467	39.0927483493105	39.3646640382746	38.5741025993222	31646.1433823528
26	2.66666666666667	4.11111111111111	1.55555555555556	0.323680269827385	0.371257766848826	0.25	52.7975159711699	55.2378653893807	62.742994403863	8354.97321428572
27	0	8.11111111111111	0	0	0.701095717151795	0	0	42.4726125426607	0	6354.57142857142
28	6.33333333333333	13	7.22222222222222	0.595210570243061	0.706893487127072	0.593083726311801	40.3120563418071	41.3979675009591	42.4890570391668	25244.5080645162
29	17.2222222222222	24.3333333333333	17	0.422936204999785	0.44527614212352	0.429702320645355	30.7611355701618	30.2336532007515	31.156306822862	77294.7801724134
30	0	15.1111111111111	5.44444444444444	0	0.460596582901539	0.497118714673698	0	41.8110142559049	43.3969105748379	13928.4191176471
31	12.8888888888889	25.4444444444444	13.8888888888889	0.56979159405584	0.633320308756482	0.643604684079096	29.2938913383173	28.7223350295386	28.1438420899941	43744.243243243
32	10	17.6666666666667	9.22222222222222	0.676904294836867	0.760315738940144	0.673861418929827	32.7435505526341	33.238472739253	33.9283961988495	29537.5147058823
33	0	7.77777777777778	0	0	0.736483595495898	0	0	47.990446171505	0	3782.1111111111
34	9.44444444444444	22.2222222222222	11.7777777777778	0.456041366183739	0.580224990905622	0.50373944354082	32.1739289109795	33.2325036801176	33.4094057612153	36098.0220588235
35	0	11	0	0	0.571842497820054	0	0	42.9699037622142	0	5220.42647058825
36	9.77777777777778	18.3333333333333	8.33333333333333	0.489938307506417	0.565391153973484	0.457005756529759	38.4574370592639	38.9816283731187	39.41592771431	33883.5506756756
37	8.33333333333333	17.6666666666667	9.88888888888889	0.563213182203856	0.641777672359167	0.564544590929124	32.7407246228522	33.4353790183416	32.4523654592079	25435.7058823529
38	9.11111111111111	16.6666666666667	7.66666666666667	0.529776278571364	0.613900867549269	0.481666560993433	36.7398889331435	38.9645691285943	38.4087633447523	26598.1189024389
39	7.22222222222222	11.1111111111111	7.22222222222222	0.606836417636249	0.684426108952939	0.552580607312643	38.4514386120115	39.0098907985777	40.9997422039976	26744.5375
40	7.88888888888889	15.1111111111111	5.66666666666667	0.613331108397421	0.737777320655882	0.660440428747086	36.0028694555112	35.2575115332282	30.875608022026	22429.0064102563
41	12.3333333333333	19.4444444444444	12	0.365511754074264	0.446416719032687	0.370612593048221	39.173634981803	38.8668197502486	39.5640932607069	52066.4131944443
42	0	12.5555555555556	0	0	0.467516355938993	0	0	40.9911930128423	0	2912.31818181817
43	8.33333333333333	12.8888888888889	8.44444444444444	0.851351199178675	0.84942206880529	0.800163568329075	38.5969396827758	39.0419509379112	39.7261705657151	30968.8214285714
44	0	15.5555555555556	0	0	0.718321928098493	0	0	36.9332959635348	0	10883.7307692308
45	13.4444444444444	21.3333333333333	14.3333333333333	0.553766863686383	0.627969563137624	0.572372936309387	30.09865866085	30.0637466070669	30.3893861718134	36550.5
46	13.7777777777778	23.8888888888889	13.2222222222222	0.733998917866704	0.727337229048333	0.738023849701123	28.7462566750417	28.3966425247555	28.8440502480998	41190.4444444446
47	0	12.4444444444444	0	0	0.667995274939865	0	0	39.0069340529403	0	10319.6176470589
48	12	18.3333333333333	13.8888888888889	0.484580306821325	0.6791500142206	0.564764165901912	35.3300671295373	34.5891412279793	33.7868250396384	58355.3999999998
49	21	31	22.3333333333333	0.371414337332047	0.482473021860969	0.373906793088988	36.3572947547224	37.2972691555477	36.044116009614	117981.41860465
50	17.2222222222222	24.7777777777778	18.2222222222222	0.387571387194234	0.483266890325014	0.424534138112309	33.37593246858	33.5281213943047	34.4584071428994	73749.5999999997
51	8.11111111111111	13.2222222222222	7.44444444444444	0.494117803300975	0.597832096296904	0.49280079344893	41.2453891102569	41.8188718880678	42.002994693755	33442.9324324323
52	6.55555555555555	11.6666666666667	6.66666666666667	0.639061851314764	0.687483230902029	0.643775251244971	40.8807644795604	42.3522844411414	42.6528945511063	25286.054054054
53	6.88888888888889	11.3333333333333	6.77777777777778	0.703008913217275	0.735552049928681	0.666798596853404	40.2873719989902	42.292817428699	42.9609403834508	27557.7499999999
54	10.4444444444444	17.1111111111111	11.2222222222222	0.474893689184338	0.572118187144197	0.500966201679417	39.8039221730281	40.5029540950103	40.8507557438932	55946.2894736844
55	15.2222222222222	26.1111111111111	17.5555555555556	0.457011152769266	0.551685532396608	0.476187464415327	32.2529434659308	32.6331833945049	32.6645860382048	68249.2071428574
56	8.55555555555555	15.1111111111111	9	0.772767745881191	0.809681886085735	0.821164034628344	35.412203789615	36.3066994997128	37.6116131850394	28755.375
57	6.66666666666667	10.2222222222222	5.88888888888889	0.707979585258344	0.722733245085977	0.673868127705448	44.1919652874013	44.3923750618776	45.679594044944	25281.2943548386
58	6.33333333333333	10.1111111111111	6.44444444444444	0.515537261955453	0.595425102669231	0.51673755634973	43.8390107408271	43.5775203044792	44.2577889734026	20196.7095588235
59	13.3333333333333	22.4444444444444	10.8888888888889	0.394048160532218	0.455831117057921	0.37472257200312	37.8849106422755	38.1219307452208	38.6760484873143	37907.029761905
60	0	13.2222222222222	5.22222222222222	0	0.495562275730663	0.423790163293426	0	40.2012575724626	39.6560878025671	14916.1724137931
61	0	10.8888888888889	0	0	0.320311142493932	0	0	36.8877904948708	0	1535.48863636364
62	8.77777777777778	15	8.33333333333333	0.70014826629139	0.765741339593214	0.711952319259144	37.0848552648549	36.6666371603159	37.7480567037276	31290.6363636364
63	4.44444444444444	8.22222222222222	4.44444444444444	0.845976518813534	0.872310426074027	0.858929503911393	45.4306819903513	45.8247752858378	46.5096518142241	16583.6785714286
64	12.4444444444444	21.1111111111111	13.7777777777778	0.652415093111863	0.775509759340977	0.694171488322921	30.4018839663333	30.3345331270273	30.5278029898688	57473.5833333332
65	17.6666666666667	24.3333333333333	18.4444444444444	0.433573262658943	0.484358411776168	0.448548126547263	33.4821574709344	33.4751545997755	34.8146694589733	87137.8863636366
66	0	12.4444444444444	0	0	0.772050169006006	0	0	34.9047866693365	0	2923.44827586206
67	0	7.22222222222222	0	0	0.744456477657924	0	0	47.3001791779472	0	7038.9375
68	10.6666666666667	16.2222222222222	10.6666666666667	0.393954876491355	0.506860951838579	0.501351874354649	39.0299944097022	40.1138545680606	40.9630393681616	36481.578125
69	4.77777777777778	8.66666666666667	3.55555555555556	0.683908149984307	0.842520549160278	0.664344409269807	44.1222655185491	44.0198765975726	41.6407848225952	13254.3636363637
70	4.66666666666667	13.4444444444444	6.44444444444444	0.451521147319278	0.704617907535848	0.515570946017978	38.1980722913829	41.3282904609604	39.3397201618724	15813.225
71	2.55555555555556	7.66666666666667	3.55555555555556	0.652783506460549	0.689579365176789	0.664344409269807	40.0896551124281	46.6351832515117	46.7125079301782	12206.1693548387
72	7.66666666666667	13.1111111111111	8.11111111111111	0.468754417135637	0.710197524121613	0.590461733768261	38.2438955575663	39.4077981437	38.4946616782153	23632.129032258
73	10	16.4444444444444	9.55555555555555	0.641056171716693	0.761385313477765	0.6662340801987	37.0581480635756	37.3560762848946	37.8185087400812	41576.5075757577
74	6.22222222222222	15.2222222222222	9.11111111111111	0.494484044088905	0.737449512864156	0.753113576679963	34.1238952659661	35.4936666031937	31.8501665235874	21264.9892857143
75	4.88888888888889	14.6666666666667	4.88888888888889	0.548938930657856	0.788414853683886	0.548938930657856	40.1175457682681	41.8742901209058	40.2030178863867	20271.3639705882
76	6	9.33333333333333	5.55555555555555	0.755648888424527	0.736642156488271	0.677408795849362	42.3446188734747	45.6498231995673	44.3856639250193	16602.1294642857
77	3.33333333333333	7.77777777777778	4	0.782085440774266	0.827307494206117	0.691000849097922	46.8729329628201	47.1804871217857	49.0039567679415	8986.51339285715
78	15.7777777777778	24.2222222222222	14.3333333333333	0.486830818251285	0.556903333245928	0.447371066873622	33.1268487666098	33.4045393160112	34.2928211570784	68623.9290540543
79	4.33333333333333	10.7777777777778	3.77777777777778	0.847923155643865	0.86340891941578	0.872871560943969	36.9405079649826	40.7741392897885	38.9038712750009	15437.75
