F:\AMNIS_data\pBGT-Bet-Hedging\plasmid\day-2_AMP_pBGT\data\rep-1\A02-noBF_4.daf
All

Object Number	Area_M01	Area_M02	Area_M04	Aspect Ratio_M01	Aspect Ratio_M02	Aspect Ratio_M04	Gradient RMS_M01_Ch01	Gradient RMS_M02_Ch02	Gradient RMS_M04_Ch04	Intensity_MC_Ch02
0	0	26.1111111111111	0	0	0.649487297828686	0	0	28.6116243761045	0	19117.0512820513
1	0	20.1111111111111	6.44444444444444	0	0.875000893328841	0.939987870398888	0	31.9977653289663	30.6927680725383	15582.0147058824
2	0	21.3333333333333	0	0	0.519754578366524	0	0	33.9459852386645	0	23948.1136363638
3	0	17.4444444444444	0	0	0.835977149208753	0	0	33.0249250359781	0	12539.7714285715
4	0	16.7777777777778	0	0	0.928119729800364	0	0	31.2094425488306	0	9609.60606060603
5	0	14.5555555555556	0	0	0.881150297772586	0	0	36.6688280584408	0	12730.8125
6	0	15.4444444444444	0	0	0.878993374729854	0	0	32.2378356998953	0	7392.64705882354
7	0	14.5555555555556	0	0	0.753914281054045	0	0	32.7106269598646	0	12880.2647058824
8	11.4444444444444	18.1111111111111	11.1111111111111	0.540664651700487	0.586187119831405	0.553291370478394	35.6742222383491	35.083588337163	36.5670674217123	40026.536764706
9	0	24	0	0	0.806292713236865	0	0	28.6516798589186	0	19134.9374999999
10	0	10.6666666666667	0	0	0.810814816300216	0	0	41.7330175475393	0	9310.69696969695
11	0	15.4444444444444	0	0	0.732988318272016	0	0	29.1435814566647	0	10056.7316176471
12	0	17.1111111111111	0	0	0.889760848456471	0	0	31.3242353269932	0	15280.5859375
13	0	18.6666666666667	6.66666666666667	0	0.751010040990587	0.751848591701149	0	32.264125120581	29.0154171920854	20678.5220588235
14	4.22222222222222	13.3333333333333	4.44444444444444	0.754617458645509	0.797516135705971	0.823054891753102	35.3924502849906	36.3596730739872	33.8376502647759	15570.5714285714
15	0	12.3333333333333	0	0	0.796943280000969	0	0	34.0691414161104	0	4008.26136363637
16	0	15.2222222222222	0	0	0.891080606063397	0	0	32.9414413623334	0	3826.39655172412
17	0	16.4444444444444	7.55555555555555	0	0.723396890643729	0.574537245513281	0	32.6672037848871	31.10544446377	21892.9178571428
18	6	11.3333333333333	6.66666666666667	0.558774394508491	0.592362654443828	0.516416768450821	37.1329258018746	38.416174250109	38.9955276444835	21663.298611111
19	7.55555555555555	12.5555555555556	7.55555555555555	0.808370344750736	0.884084031869504	0.740377965710798	37.9267205976208	36.99031720695	37.2138101406388	24957.7586206897
20	0	16.5555555555556	0	0	0.697575655633537	0	0	30.6277050884837	0	20225.9527027026
21	0	19.8888888888889	0	0	0.824581447878629	0	0	28.574280882053	0	20229.6571428571
22	12.5555555555556	62.2222222222222	12.3333333333333	0.359019079025913	0.532744384789664	0.243591552648106	28.7366278789441	30.4307577018305	29.9445572134796	66429.4288793107
23	0	12.2222222222222	0	0	0.80143021039883	0	0	37.4546960980908	0	5798.22580645162
24	0	14	0	0	0.915695070524264	0	0	32.7475034528822	0	14301.6621621622
25	3.88888888888889	8.66666666666667	4.55555555555556	0.936776932043143	0.789564985788574	0.692489611222262	35.2176972148467	40.5130753476065	39.7252267388342	14166.65625
26	0	17	0	0	0.673125521658559	0	0	31.6063092880112	0	17811.3508064516
27	0	17.5555555555556	0	0	0.686286607249218	0	0	33.0295446472811	0	15466.7720588235
28	0	27.3333333333333	0	0	0.447844285460048	0	0	30.7442196569398	0	24848.976102941
29	0	20.5555555555556	0	0	0.899542257959658	0	0	29.5245988014779	0	17773.5642857143
30	0	18.7777777777778	0	0	0.847480176135201	0	0	31.3970531679349	0	14579.6323529412
31	0	16.5555555555556	0	0	0.678842262058123	0	0	33.4784389370029	0	15460.3250000001
32	0	19.6666666666667	8.66666666666667	0	0.762653667938602	0.678153937504452	0	29.8353886760945	27.2124986697478	23756.3993055555
33	0	15.5555555555556	0	0	0.907998745469598	0	0	33.2590469850006	0	11889
34	10.3333333333333	18.4444444444444	9	0.444518268612979	0.49719260593662	0.421975203488964	37.4673702081628	38.1817971838132	37.9116151471286	28120.7434210528
35	10.5555555555556	20	10.8888888888889	0.739618172431761	0.783347632883954	0.753701786141484	32.1891134421921	32.2373022814181	32.3243792712217	28818.6354166667
36	0	11.6666666666667	0	0	0.810410765609774	0	0	33.9724880708311	0	2197.89655172413
37	6.44444444444444	15.2222222222222	8.33333333333333	0.901521551184301	0.818116049099312	0.700389204212001	38.5985445323973	39.0248694475086	36.7197903432832	19939.4568965518
38	0	17.1111111111111	0	0	0.779425433273715	0	0	29.0145222089673	0	9459.01470588237
39	0	37.7777777777778	9.22222222222222	0	0.796872684569466	0.443777296969528	0	29.3203175347825	27.5049963138354	32182.4761904764
40	0	23.4444444444444	0	0	0.871513438819543	0	0	28.4907384398698	0	20030.4431818181
41	0	19.4444444444444	0	0	0.916030459337993	0	0	28.6778370335315	0	10390.9696969697
42	0	18	0	0	0.843016543658506	0	0	29.7417829023571	0	10642.5607142857
43	11.5555555555556	19.3333333333333	11	0.817077505340295	0.85210133796214	0.84393556291424	31.9089921529423	32.5807214472637	32.7549598181361	34739.8161764705
44	0	15	7.33333333333333	0	0.558084685244621	0.535599099916584	0	36.7527715932626	36.7365958936403	22135.4632352942
45	0	6.66666666666667	0	0	0.915974536410477	0	0	43.0668269151221	0	1168.7962962963
46	0	17.3333333333333	0	0	0.97678218590085	0	0	31.1507167312561	0	6227.05172413795
47	0	22.4444444444444	0	0	0.791107751931963	0	0	28.1112618056022	0	14126.8
48	0	14.5555555555556	0	0	0.846454818863262	0	0	35.0644741845251	0	8323.97058823526
49	0	18	0	0	0.799920822119195	0	0	30.2862189586093	0	11146.9128787879
50	0	18.4444444444444	0	0	0.899747528961752	0	0	33.9241784888892	0	13341.0606060606
51	0	17.7777777777778	0	0	0.809861954669444	0	0	31.5789353017957	0	10211.0036764705
52	0	17.5555555555556	0	0	0.878115198807731	0	0	30.7979394170064	0	12968.3088235295
53	0	14.6666666666667	0	0	0.907902991888553	0	0	34.8581049754705	0	11617.474137931
54	3.22222222222222	8.77777777777778	4	0.817516697133492	0.840461056101432	0.839146382059225	40.4167169135878	42.5563148566565	41.8456407528471	12033.94140625
55	7.88888888888889	15.6666666666667	7.66666666666667	0.677298567473796	0.726915549524118	0.639473325082479	37.0887565337412	37.1272166840282	39.024281406646	27992.6029411764
56	4.11111111111111	99.7777777777778	9.33333333333333	0.59573065914877	0.606126108322324	0.168051073380506	31.9226542159724	28.7868566827566	33.3324804873931	65095.7131147549
57	7	16.6666666666667	7.77777777777778	0.628051814192926	0.774935142213287	0.723360040542842	35.787467840615	36.2016697554405	37.1281895913945	20249.9568965517
58	9.77777777777778	17.8888888888889	8	0.429231888427162	0.520074440188062	0.391118711638208	37.1149329451736	37.5684402753512	37.6377020954476	24666.8749999999
59	0	22.2222222222222	0	0	0.666959005244258	0	0	29.9212832769751	0	12881.9000000001
