F:\AMNIS_data\pBGT-Bet-Hedging\plasmid\day-2_AMP_pBGT\data\rep-1\A11_37.daf
All

Object Number	Area_M01	Area_M02	Area_M04	Aspect Ratio_M01	Aspect Ratio_M02	Aspect Ratio_M04	Gradient RMS_M01_Ch01	Gradient RMS_M02_Ch02	Gradient RMS_M04_Ch04	Intensity_MC_Ch02
0	21.6666666666667	23	32.3333333333333	0.392479003649204	0.37827536028102	0.485689544041691	35.277155197973	35.6604649528717	67.0773730965369	103350.3
1	21.4444444444444	31.7777777777778	46.7777777777778	0.275861637255659	0.328156802302038	0.580382253218935	39.3017043029079	40.5213192793074	64.1564248327245	119259.148255813
2	5.88888888888889	11.8888888888889	14.2222222222222	0.611243463586882	0.703009097168154	0.472493514120651	42.9289971159043	43.7312516295225	69.6283935631275	31397.0303030302
3	6.55555555555555	73.1111111111111	37.4444444444444	0.52610975689896	0.6113909045909	0.378557299062949	41.3182715425627	34.0940804828609	56.441980588234	163189.99074074
4	31.1111111111111	55.6666666666667	40.4444444444444	0.429576858590077	0.487828327367428	0.356150880703409	26.6037764517918	27.4749830943299	61.4788909422367	103956.699999999
5	12.2222222222222	19.6666666666667	21.2222222222222	0.632820137793587	0.689799324347178	0.668218854928357	29.8484614107127	30.8944614180652	66.9771611866037	57614.2058823531
6	5.77777777777778	11.4444444444444	13	0.663782653345055	0.756390857136645	0.704573483374467	42.1784843660427	42.7246381904135	73.4874293534581	23194.2727272728
7	6.55555555555555	9.11111111111111	45.1111111111111	0.665566733599884	0.68480169498022	0.591925939663306	41.3368531556385	41.1495858192176	53.9210375613139	50691.875
8	29.8888888888889	43.4444444444444	55.2222222222222	0.384876373807134	0.432835293973569	0.496876565405216	30.4559156619651	31.0258844772552	69.506414955144	118531.184999998
9	11.7777777777778	17.2222222222222	12.6666666666667	0.895942577296213	0.957802351130641	0.820463891225987	32.1715254529108	31.8787603951852	70.8922415423439	40913.7109375
10	10.8888888888889	13.6666666666667	45.5555555555556	0.542985380622364	0.584992711298119	0.363810534423724	39.1043294823274	39.2185675978032	61.8122144545325	85767.040816326
11	0	14.2222222222222	13.7777777777778	0	0.762152273624623	0.736956228436531	0	35.1453709339421	73.4400549359352	13059.3024193548
12	0	10.8888888888889	15.2222222222222	0	0.639215089335916	0.664657249463337	0	41.7984892694296	72.3304927204837	6336.37500000001
13	9.66666666666667	24.7777777777778	21.4444444444444	0.804764288623394	0.794172876080832	0.731935545838208	27.9551878524118	27.8901299791153	65.2637568971185	36809.8235294118
14	0	13.5555555555556	14.7777777777778	0	0.712590545064696	0.653726009565934	0	35.1971917409502	74.6494065753011	8250.1111111111
15	0	29.4444444444444	33.7777777777778	0	0.399359977976322	0.429603348838379	0	37.2387878067025	68.8059941515803	21946.8124999999
16	9.33333333333333	15.6666666666667	14.3333333333333	0.485177269523636	0.64130635813158	0.562958933401403	38.1940895462945	38.271903941965	71.9050853376989	47426.9249999998
