F:\AMNIS_data\pBGT-Bet-Hedging\plasmid\day-2_AMP_pBGT\data\rep-2\B02-noBF.daf
All

Object Number	Area_M01	Area_M02	Area_M04	Aspect Ratio_M01	Aspect Ratio_M02	Aspect Ratio_M04	Gradient RMS_M01_Ch01	Gradient RMS_M02_Ch02	Gradient RMS_M04_Ch04	Intensity_MC_Ch02
0	0	16.6666666666667	0	0	0.867280536461314	0	0	29.5098587464882	0	13433.5530303031
1	0	26.6666666666667	6.55555555555555	0	0.928867328679878	0.968496791101513	0	28.6605178511822	27.422183894875	28283.0000000003
2	9.22222222222222	13.2222222222222	9.77777777777778	0.896242348436402	0.911544326949156	0.94930712608287	32.9810555915961	32.3007325595393	33.3846876358219	40176.1296296296
3	9.77777777777778	15.7777777777778	8.55555555555555	0.975436831451825	0.902968609651545	0.918998958998824	30.3090661759241	28.4806062303138	29.7128474900507	35735.3225
4	5.77777777777778	16.2222222222222	7.22222222222222	0.887521456799427	0.947704219084674	0.813653809516081	31.7190023603792	33.0794549429015	34.2343832638525	21126.1397058824
5	7.11111111111111	14.3333333333333	6.88888888888889	0.920322763023375	0.856516190672252	0.874584821667192	34.9379144330226	35.4434265585613	33.1712730643655	24412.919117647
6	0	19.6666666666667	0	0	0.912725691330269	0	0	28.392013854576	0	18152.3214285714
7	10.3333333333333	21.3333333333333	6.77777777777778	0.879656116332793	0.953663687447591	0.813732049995157	34.2084854456089	33.3637925581764	35.8290475657222	23915.1397058824
8	16.7777777777778	21	17	0.716730931577984	0.756566662583001	0.743013014204729	29.5692190273807	29.0079347100546	29.5855403736899	71320.4642857138
9	0	19.1111111111111	0	0	0.959185728851281	0	0	28.0593684918053	0	23468.267857143
10	2.22222222222222	3.22222222222222	1.77777777777778	0.790569415042095	0.817516697133491	1	39.4961106169116	43.2492084215107	39.8788177759829	43701.782142857
11	4.88888888888889	11.6666666666667	6	0.936171507959552	0.888900191230566	0.872410242775768	37.694070635778	39.2339797762718	38.137040314935	19943.1022727272
12	5.55555555555555	12.3333333333333	6.55555555555555	0.674782044129626	0.759776544160894	0.952897633680891	34.2823318779691	35.5323449722709	34.2721817156947	17010.1969696969
13	0	21.2222222222222	0	0	0.957682127372186	0	0	29.7986407356548	0	17263.93359375
14	4.66666666666667	18.8888888888889	7.55555555555555	0.853912563829967	0.884226906948144	0.955111963581525	31.3162943825181	33.869011713514	35.2647153450537	23091.7954545456
15	0	21.8888888888889	10.5555555555556	0	0.936251622949128	0.693682830386743	0	29.1104294648185	31.2061509796781	23676.4214285715
16	9.11111111111111	21.4444444444444	10.2222222222222	0.894118051944768	0.893429143616177	0.872821212800338	30.2241534638118	31.4964818326333	32.0487219749906	31778.371794872
17	0	18.7777777777778	7.33333333333333	0	0.955742941524936	0.909013410102864	0	29.4821029613813	29.915290833517	21689.828125
18	16	75.4444444444444	23.5555555555556	0.250580913427827	0.563143255054494	0.289849410020759	31.7665560530764	27.5411181886451	32.1982549698181	55678.5299999999
19	0	25.5555555555556	0	0	0.980975504315791	0	0	28.2199054762096	0	13485.2196969696
20	13.3333333333333	24.3333333333333	10.5555555555556	0.923399603923819	0.865544596468295	0.936748145834418	32.3807054094873	31.7184727235086	31.9057337502776	44355.2986111109
21	0	16.2222222222222	0	0	0.985184104610732	0	0	28.3449410019168	0	20255.1382978724
22	0	21.6666666666667	0	0	0.872969553131403	0	0	28.2883017883037	0	13360.5806451614
23	0	23	0	0	0.914402172646376	0	0	29.0525755784613	0	7852.08823529416
24	4.55555555555556	15	5.22222222222222	0.846573322084376	0.94823494251414	0.881922213582698	34.952228643183	39.2928191448958	40.6376827527021	17750.7840909091
25	18	26.8888888888889	17	0.658832748141987	0.712834591613644	0.698968162376439	28.3728678665309	27.7218434214786	27.9559164247337	53461.7179487177
26	7.33333333333333	21	8.88888888888889	0.902457637117241	0.919093575202115	0.906469735334435	30.7360337260204	30.7662506471366	31.7866063669583	28787.3455882352
27	0	23.7777777777778	0	0	0.997020057812414	0	0	28.3059839403309	0	19417.4393939394
28	11.1111111111111	18.4444444444444	7.66666666666667	0.847641682051435	0.93353830893247	0.884010880398401	31.6033545123829	31.2932991956105	30.3775791085869	32041.9750000001
29	13.4444444444444	20.6666666666667	11.3333333333333	0.93650442513983	0.858539371012316	0.936018140016712	31.5579216575313	30.9668065643492	30.1657258391851	47766.1617647057
30	9.55555555555555	20.2222222222222	10.6666666666667	0.982053030630023	0.980709640225495	0.873464551958804	30.899854653256	30.5802656275273	31.2548487281644	35961.953125
31	0	18.8888888888889	8.55555555555555	0	0.913734122707347	0.889086418452505	0	31.2295436381088	30.5076122084529	21823.5322580646
32	9.33333333333333	24	11.1111111111111	0.889906739776446	0.995550596642513	0.925704156266246	27.331784842472	27.8152084968841	28.3931459268799	28002.6571428569
33	0	22.6666666666667	0	0	0.866858246810949	0	0	28.7976244729344	0	14077.15
34	0	15.7777777777778	9.77777777777778	0	0.910435796480399	0.946991447872982	0	28.1163440844187	29.1163131246426	26924.2163461539
35	18.3333333333333	27.4444444444444	17.7777777777778	0.924249011420075	0.917817799045356	0.947064346321532	30.0962468568135	29.5133898725319	29.2692111235722	75892.6993243242
36	0	18	0	0	0.940989900670747	0	0	28.4322395089529	0	18514.3714285714
37	9.77777777777778	23.7777777777778	11	0.621709271404704	0.675000386807977	0.620866459124555	25.9372048201049	27.7314757723495	26.4949773228119	36467
38	0	19.6666666666667	0	0	0.89688737714154	0	0	30.9962500865384	0	7309.80000000003
39	10	18.8888888888889	9.22222222222222	0.821830826033771	0.828824998782454	0.919490952017912	31.521065853063	31.8052282821987	32.0685960803175	35046.6071428572
