F:\AMNIS_data\pBGT-Bet-Hedging\plasmid\day-2_AMP_pBGT\data\rep-2\B08_35.daf
All

Object Number	Area_M01	Area_M02	Area_M04	Aspect Ratio_M01	Aspect Ratio_M02	Aspect Ratio_M04	Gradient RMS_M01_Ch01	Gradient RMS_M02_Ch02	Gradient RMS_M04_Ch04	Intensity_MC_Ch02
0	13.3333333333333	23.3333333333333	21.4444444444444	0.542118862549555	0.650801456720349	0.593699906210231	30.506611120018	30.468968449248	69.36871961497	55331.5390625
1	15.7777777777778	23.1111111111111	18.5555555555556	0.379212733786342	0.440482692776603	0.527491365144535	36.7796492954816	37.2025643881966	66.6026386471713	92373.2499999995
2	13.3333333333333	23.1111111111111	22.4444444444444	0.687432333592106	0.738693891363496	0.693984871441384	28.1108457217168	28.2122536112705	63.9064890704354	52517.7398648647
3	11	17	18	0.37168196645662	0.466550367452883	0.456319516011751	35.3395555401832	37.475178031276	72.3807755595277	37153.3676470586
4	0	6.88888888888889	14.4444444444444	0	0.582866323940515	0.40529917683332	0	35.490388060445	75.8951226641245	4030.74193548388
5	0	13.3333333333333	11.6666666666667	0	0.488690160113439	0.606306777291755	0	41.0006955585504	78.8653816726614	7090.12121212116
6	0	17.6666666666667	21.2222222222222	0	0.756145981861586	0.81419204064729	0	27.92391000811	68.8063663519457	21246.1458333333
7	0	11.8888888888889	11.7777777777778	0	0.636822943499792	0.743573598517715	0	42.3317090612426	77.4976595587712	9672.78125
8	7.88888888888889	12	13.2222222222222	0.641939003028043	0.685590451373145	0.582945919043149	40.0095795995522	42.3223931101108	71.9699112490382	31890.1666666668
9	12.3333333333333	21.2222222222222	28.1111111111111	0.599045334854677	0.683105753825929	0.594029407542407	28.3254929233991	28.3678792980351	69.7280741724757	47154.4821428574
10	0	16.2222222222222	16.3333333333333	0	0.563895970315709	0.491288971253051	0	34.6201204499735	76.0261108181273	8470.5
11	0	19.8888888888889	17.8888888888889	0	0.81882853114942	0.75533807716858	0	28.7396769886355	68.0409647408813	15321.2741935483
12	19	27.2222222222222	30.1111111111111	0.46798227084243	0.518754037510389	0.480574180357523	30.5435753706273	31.5779374275308	68.8234931460112	108131.618421053
13	8.44444444444444	13.1111111111111	8.55555555555555	0.528459383656874	0.588392014980349	0.416990508641519	42.3338001745737	43.1351487599424	64.7786233211043	34721.4583333333
14	5.11111111111111	65.6666666666667	35	0.735053439970549	0.590400532604043	0.298191325440024	32.2262376377155	31.928320384398	62.3451516311129	66818.4285714281
15	3.55555555555556	8	5.33333333333333	0.487950036474267	0.685095744235015	0.577374288401743	41.3244862874851	45.8372368730311	70.7509550585594	14413.064516129
16	5	11.8888888888889	16.4444444444444	0.714667298026513	0.70975860489284	0.716636634391701	38.0143360345822	41.8010336916828	72.6297902522702	23747.2578125
17	27.3333333333333	45.4444444444444	55.6666666666667	0.22261307082311	0.284587399904724	0.317336989096828	34.113070404491	36.4391093238981	69.8833068383095	78574.8076923081
18	0	26.5555555555556	28.8888888888889	0	0.44241935411976	0.454852274231206	0	27.7214678685177	71.4816444638688	33859.5588235294
19	12.8888888888889	99.6666666666667	76.5555555555555	0.319776425340917	0.397635536412056	0.341040192463573	32.1987598305125	30.2978305838758	60.9995526487403	107823.406735751
20	2.44444444444444	10.3333333333333	14.8888888888889	0.634605168529309	0.552249172630697	0.412974059668176	29.2416548002582	39.1031719662523	72.9783532665937	27317.9999999999
21	12.5555555555556	22.4444444444444	26.1111111111111	0.538239546980237	0.606915851927521	0.584178664848056	29.9761991219304	30.0878833692935	69.6568333300371	34547.2741935482
22	5.88888888888889	12.8888888888889	12.6666666666667	0.656701400616184	0.65240489973832	0.634048639854804	35.9135299443814	39.1358365359845	72.4559104412024	23287.3333333333
23	7	17.1111111111111	17.7777777777778	0.465252824345149	0.544045739061814	0.472843290012147	35.0988798371847	38.7332246989982	72.5475822334666	31114.4594594593
24	0	5.22222222222222	10.5555555555556	0	0.485905831575939	0.673621858436571	0	41.3845262922522	71.1768147704406	1320.734375
25	10.6666666666667	18.2222222222222	19.7777777777778	0.407633575149559	0.514515255801793	0.480414779579785	36.9001988487941	36.7764618305299	69.6118751708549	48303.3830645163
26	16.2222222222222	23.7777777777778	26.8888888888889	0.349155273493023	0.429194095432327	0.414599574766582	30.6914124258187	31.7902712128147	72.4284409900348	48372.1473214284
27	22.3333333333333	65	38.4444444444444	0.342560103289762	0.698179687861359	0.449017913032466	28.2692365225105	29.0625381610444	54.4796786021471	123203.923611109
28	7.77777777777778	13.2222222222222	17	0.587229007263949	0.670892984332628	0.540371559428475	36.880975254673	39.6520096154482	69.7855981229371	33102.94921875
29	15.1111111111111	22.3333333333333	25.1111111111111	0.407366224855139	0.460245864957091	0.464219688589957	35.1820006918933	36.6515700233561	67.7332799511951	74496.5555555552
30	9.77777777777778	15.7777777777778	21.4444444444444	0.62869453522235	0.676042294413498	0.664723908958905	30.5246908156319	30.7017831013999	68.4385689368367	32266.4285714284
31	11	17.1111111111111	18.3333333333333	0.814127407305582	0.854167353617171	0.806758955354974	31.6994204634331	31.2941192219341	65.5876541625813	40444.6532258063
32	28.6666666666667	37.1111111111111	41	0.320155307717198	0.350951473391803	0.357601351015869	27.9233270954252	28.1894755480556	66.0850450911808	99519.702127659
33	10.1111111111111	17.3333333333333	64.6666666666667	0.531479317714639	0.329736455125169	0.40996518704119	33.8420269489651	33.8644903444541	62.701860791167	111961.652777778
34	21.5555555555556	58.1111111111111	66.5555555555555	0.369348302185138	0.796204079208611	0.844445555906627	35.6842442940887	36.3753266298988	67.9724663995026	125353.864583332
35	8.33333333333333	10.8888888888889	10.8888888888889	0.690384395458807	0.689396233249875	0.684833695625072	38.8687934259205	39.4787733237843	71.0472807858895	34515.6551724139
36	9.55555555555555	10.1111111111111	42.6666666666667	0.420610886440669	0.425493467056686	0.344742771456277	40.6622861904578	42.698149775683	57.6674556701686	64337.6549999998
37	7	13.4444444444444	44.7777777777778	0.71047567486689	0.722534932906937	0.575537866161976	39.5995235326816	42.9457952315352	60.9421455485092	30139.6734693872
38	0	9.77777777777778	10.7777777777778	0	0.675412084973992	0.659513326946389	0	42.2854636364291	74.3960992148361	9870.39112903227
39	11.4444444444444	18.4444444444444	20.1111111111111	0.476420393714026	0.596851144316346	0.562969832243081	36.5542753121782	37.0206425286427	69.1174512114087	43662.367647059
40	7.55555555555555	14.8888888888889	11.5555555555556	0.623052959836642	0.741918818156229	0.599844562450518	38.5723277934718	39.7134604083455	71.0402142255559	33822.125
41	0	24.5555555555556	30.3333333333333	0	0.415113726490635	0.423878628619324	0	36.1423082905918	73.3803623834824	27492.3541666666
42	13.6666666666667	22.7777777777778	15.1111111111111	0.379250779418514	0.501956513528292	0.471763276827236	40.1493747821531	40.2757139944078	64.2933882517773	95075.9248120298
