F:\AMNIS_data\pBGT-Bet-Hedging\plasmid\day-2_AMP_pBGT\data\rep-3\F08_42.daf
All

Object Number	Area_M01	Area_M02	Area_M04	Aspect Ratio_M01	Aspect Ratio_M02	Aspect Ratio_M04	Gradient RMS_M01_Ch01	Gradient RMS_M02_Ch02	Gradient RMS_M04_Ch04	Intensity_MC_Ch02
0	6.11111111111111	10.7777777777778	12.2222222222222	0.607332011672875	0.711689538574641	0.52613135288666	39.8505017583003	42.0453800412897	72.2560895698015	27146.1708333334
1	12.4444444444444	100.111111111111	72.2222222222222	0.442646155078338	0.657487474325568	0.518604426761811	30.6159589005079	28.7414654524728	65.4687009864186	102037.471982756
2	11.3333333333333	19.1111111111111	20.2222222222222	0.430321697035969	0.506812842678081	0.444331395632093	36.4299145170603	36.3840395829253	71.7113800371573	50486.5909090909
3	0	7.88888888888889	15.1111111111111	0	0.632829884753665	0.662894559248758	0	36.8150816587526	73.8606826968913	10142.6733870968
4	1.66666666666667	10	20.6666666666667	0.871779788708135	0.721555017136916	0.720640309808447	24.6891380761542	25.6994268265868	70.2033634522814	13590.3
5	7.33333333333333	13.1111111111111	14.7777777777778	0.630433060290251	0.651879974150157	0.785899202098653	37.5635200608849	39.3111173089571	68.15684348693	33648.9224137931
6	7.66666666666667	16.2222222222222	16.4444444444444	0.591742492110688	0.621485582923543	0.538683305953676	34.8087208270002	34.8117739480759	71.8546089189838	33640.1875
7	4.33333333333333	7.22222222222222	7.88888888888889	0.865344907135035	0.942994038991601	0.949403814039259	43.9738812237565	46.3129408082301	73.3954131270868	17537.71875
8	0	15.3333333333333	11	0	0.943125342074466	0.929310944814964	0	34.8863156596752	69.5323634764072	18575.7407407407
9	0	5.11111111111111	15.4444444444444	0	0.492751607122131	0.56878181665636	0	29.2168664196811	75.8196419222794	2699.68181818183
10	0	9.33333333333333	13.3333333333333	0	0.573233316715002	0.575400782349695	0	40.4533530817943	77.0021673288474	11866.6525423729
11	7.44444444444444	13.4444444444444	10.2222222222222	0.479514813138449	0.640414722484443	0.592263887319583	40.7396738902355	41.6461121774973	68.5364696330802	38674.0645161289
12	10	16.5555555555556	14.6666666666667	0.488731088306983	0.577102061810217	0.588367740311373	38.6199751018874	38.7911356638941	70.2307189054402	54366.3014705884
13	24.7777777777778	34.7777777777778	42.2222222222222	0.566269360238385	0.595555135819985	0.601492576329825	34.4994358085588	35.0059714632471	67.0703341534048	86937.4583333339
14	0	11	19.8888888888889	0	0.698427514567173	0.4353449222081	0	41.1478009751517	72.1272126182557	5906.07500000002
15	8.66666666666667	11	37.1111111111111	0.645429253970764	0.614420850201152	0.268873145364981	37.4083501011352	36.8550832876706	57.4898693051232	72001.9872881341
16	14.4444444444444	22	16.1111111111111	0.609446099494411	0.687261440513631	0.557482025062652	31.8320141825123	31.9020217041768	64.229392054157	91804.577205882
