F:\AMNIS_data\pBGT-Bet-Hedging\plasmid\day-2_AMP_pBGT\data\rep-3\F10-noBF.daf
All

Object Number	Area_M01	Area_M02	Area_M04	Aspect Ratio_M01	Aspect Ratio_M02	Aspect Ratio_M04	Gradient RMS_M01_Ch01	Gradient RMS_M02_Ch02	Gradient RMS_M04_Ch04	Intensity_MC_Ch02
0	15	23.1111111111111	18.2222222222222	0.834245503158014	0.891450248655567	0.904493383543074	28.8349469549087	28.4766541180604	29.9698566423523	65098.4650000002
1	0	0.888888888888889	0	0	0	0	0	0	0	152.512820512821
2	18.1111111111111	26.6666666666667	19.6666666666667	0.6912965041493	0.36285858674206	0.748843145101162	28.6452137772421	28.5990935675972	29.5097209250711	137221.772727272
3	0	11.1111111111111	0	0	0.257456670883861	0	0	37.8036903228405	0	3205.01923076923
4	0	8.77777777777778	0	0	0.263727891325219	0	0	42.3567537454873	0	7991.7142857143
5	26.1111111111111	36.6666666666667	24.3333333333333	0.801836981709346	0.82138466617334	0.827573278795569	28.8917126705529	28.7662454666235	29.0475782967841	173234.35810811
6	0	5.88888888888889	0	0	0.226031746235469	0	0	28.5890214279562	0	500.2125
7	0	1.33333333333333	0	0	0	0	0	0	0	168.6
8	0	22.7777777777778	0	0	0.959539867827296	0	0	28.1075811889555	0	15808.698275862
9	0	7.88888888888889	0	0	0.28329083895022	0	0	44.0010803064686	0	1480.98958333333
10	11.1111111111111	18.6666666666667	9.33333333333333	0.884101301715716	0.94025113411327	0.84733073891725	35.5119013953059	34.4461690775953	37.3028154090901	38640.4678571427
11	0	13.5555555555556	0	0	0.228175176034846	0	0	34.4555734696973	0	6344.09821428571
12	10.5555555555556	19.8888888888889	11.7777777777778	0.780306920488729	0.818155604853304	0.729668626817253	30.8324495563871	31.7975170996679	32.280151743975	32689.3392857145
13	0	9.77777777777778	0	0	0.24815696705628	0	0	43.7068865729771	0	10925.8666666667
14	14.3333333333333	23.7777777777778	12.7777777777778	0.817699623947899	0.855242814492256	0.873067217661136	33.9391185559408	33.6206517730669	34.7436007884504	68668.5714285717
15	16	45.5555555555556	14.7777777777778	0.896147447425591	0.400737476009916	0.836929844767163	29.0620579156524	28.3048370914649	30.1365427261985	170829.766666666
16	13.7777777777778	87	14.5555555555556	0.719357619419995	0.633820215614217	0.773421283073664	29.1364060094057	29.4178865396354	31.24447444327	165842.531249996
17	12.3333333333333	20.5555555555556	14.2222222222222	0.864989715227257	0.893610213468903	0.919772943648346	33.3946599732466	33.3607767383212	34.0290336071221	66653.5220588237
18	0	11.3333333333333	0	0	0.302667014596984	0	0	36.3416916278156	0	5457.91071428572
19	17	27.6666666666667	18.4444444444444	0.896080251464154	0.924919228269014	0.91028435715726	30.3798751038723	30.1969177301309	30.7152703180693	95280.7567567562
20	0	2.33333333333333	0	0	0	0	0	0	0	2321.00625
21	11	18.5555555555556	11.4444444444444	0.902825507927592	0.864177009820072	0.860710510654327	28.6813252549497	29.0517147696927	29.0789012459557	31792.2750000001
22	0	1	0	0	0	0	0	0	0	125.1875
23	12.7777777777778	25.7777777777778	15.1111111111111	0.912358533632143	0.780720603754954	0.827569648193621	27.7790991847938	27.9374459565506	29.0664812732767	53948.2718749997
24	8.55555555555555	134.888888888889	9.22222222222222	0.930886082077851	0.648068825021452	0.931771218005216	32.9886512146189	28.039876258924	34.6771527307325	210332.279109584
25	0	1.55555555555556	0	0	0.577288912588814	0	0	39.0638077023805	0	596.527777777778
26	0	0.222222222222222	0	0	0	0	0	45.9608619883161	0	404.455882352941
27	15.3333333333333	28.1111111111111	15.3333333333333	0.790480822666339	0.806649378581706	0.819845480738315	35.1508283157797	34.8634508499312	35.8822074333138	113155.999999999
28	17.4444444444444	25.5555555555556	16.6666666666667	0.726177838822311	0.777764966713487	0.772383014928015	29.0498073713168	29.264950416196	30.0971007512535	83109.7999999997
29	0	12.6666666666667	0	0	0.266857362503095	0	0	36.2945417731233	0	7733.05000000002
30	11.6666666666667	19.6666666666667	11.1111111111111	0.998610597857011	1	0.964310754232762	39.0307187657595	38.8889155290112	41.7521167231004	99510.3035714283
31	0	5.11111111111111	0	0	0.171912351121129	0	0	32.4935048246836	0	3225.90384615384
32	0	0.333333333333333	0	0	0	0	0	0	0	32.6125
33	0	11	0	0	0.179992202064441	0	0	36.8239313237349	0	558.212500000001
34	16.5555555555556	24.4444444444444	12.3333333333333	0.956272877120815	0.956535503240281	0.902044343596731	35.0854213749557	35.5281997461377	37.0977425385254	122495.962121213
35	9.55555555555555	20.7777777777778	6.44444444444444	0.67498394601569	0.764915949971833	0.770468801913467	30.4075729581391	30.1758788539038	27.5354751780447	24637.4926470586
36	0	7.55555555555555	0	0	0.206679830450149	0	0	40.7637780589931	0	2279.03846153846
37	17.7777777777778	29.3333333333333	17.6666666666667	0.684613620263922	0.726825549264157	0.697750994419023	29.0055742953791	28.8337980947264	29.7693670785197	87400.1891891898
38	0	6.88888888888889	0	0	0.228262698557391	0	0	44.7789938389954	0	2154
39	0	11.2222222222222	0	0	0.217391147626024	0	0	38.6487017593451	0	9139.29999999999
40	7.11111111111111	16.8888888888889	7.77777777777778	0.877671046620829	0.970771402106423	0.960027619729192	36.8990999489281	36.0738237881812	37.7891858416954	30293.763888889
41	12.1111111111111	19.7777777777778	13.5555555555556	0.783015085229422	0.823674173379223	0.770357088187207	30.9674933951888	30.3136186246207	31.1598687836554	43869.7499999999
42	17.5555555555556	31.2222222222222	16.1111111111111	0.98223990019253	0.989071129962691	0.889273375244364	31.800868248649	32.0723256133781	33.9268762716882	121649.256756758
43	0	6.77777777777778	0	0	0.167278982594843	0	0	36.0460185697899	0	870.299999999999
44	0	9.44444444444444	0	0	0.26083495511893	0	0	35.2732112413772	0	2588.875
45	0	7.44444444444444	0	0	0.252053706224312	0	0	38.6585203813119	0	1254.125
46	14.1111111111111	24.7777777777778	12.8888888888889	0.923756845741431	0.958821732603533	0.998967241938328	34.1405340434705	33.8741916691658	36.476885582144	138301.337962963
47	0	7.22222222222222	0	0	0.199518386407241	0	0	41.5671103826944	0	2214.19791666667
48	20.6666666666667	31.1111111111111	20.6666666666667	0.761338177528119	0.800303302156288	0.851831296569921	27.6992371020396	27.6671242549808	28.0777324910742	135692.606060607
49	8.33333333333333	12.1111111111111	8	0.205890404516366	0.239235128657456	0.219302535672719	39.2473594382055	39.197745810599	35.7202194020322	33347.76
50	0	11.4444444444444	0.333333333333333	0	0.293983456769135	0	0	36.2319384810336	0	12351.0583333333
51	0	11	0	0	0.306744103849136	0	0	37.270081994809	0	6718.55000000001
52	0	8.33333333333333	0	0	0.296093136212796	0	0	41.7586086948856	0	5868.57142857141
53	12.6666666666667	20	8.55555555555555	0.985937822790708	0.989157132816297	0.917376795162013	29.3333662991528	29.3199671512762	30.6619559177513	33625.5862068964
