F:\AMNIS_data\pBGT-Bet-Hedging\plasmid\day-3_LB_pBGT\rep-1\A08_76.daf
All

Object Number	Area_M01	Area_M02	Area_M04	Aspect Ratio_M01	Aspect Ratio_M02	Aspect Ratio_M04	Gradient RMS_M01_Ch01	Gradient RMS_M02_Ch02	Gradient RMS_M04_Ch04	Intensity_MC_Ch02
0	0	13.6666666666667	15.3333333333333	0	0.523601700198205	0.482743074966043	0	38.9858903847733	74.0378881039487	4184.95000000002
1	11.8888888888889	25.1111111111111	22.3333333333333	0.389900675210766	0.530385287795503	0.579064624564948	34.0142304101966	33.2939310272271	72.5876682608926	45704.3897058827
2	0	18.5555555555556	16.5555555555556	0	0.753010387953049	0.745556225707615	0	29.7090201690018	69.3438041038084	23362.7121212121
3	17.2222222222222	32.8888888888889	29.7777777777778	0.240486555160776	0.338859352238715	0.300118759305098	32.0552008901043	33.3339188167602	74.6710363568363	47930.6291666663
4	9.77777777777778	16.7777777777778	15.8888888888889	0.574167612998838	0.652440826565502	0.582391899975835	35.9917251306951	35.8071262219315	69.7274039116855	48380.1818181816
5	10	15.5555555555556	14.5555555555556	0.597728641381366	0.726473125903759	0.651486409040747	38.2104019213015	38.0860208247248	66.2691528010026	51370.0446428574
6	8.33333333333333	15.8888888888889	16.7777777777778	0.422687696505303	0.498467996918456	0.471106217337983	38.1987387626604	39.6614315186215	73.0998164225194	34022.8088235295
7	0	18.2222222222222	19.2222222222222	0	0.773481134811358	0.820339993402837	0	29.5634169129685	69.1138575818002	8552.58870967743
8	0	16.3333333333333	15.8888888888889	0	0.90016658306116	0.903250989731807	0	29.5736266658488	68.1178774853274	5938.81250000002
9	5.55555555555555	13.5555555555556	12.6666666666667	0.454756108480332	0.606033778674277	0.51497265669483	38.746913399121	42.9008923407449	72.0025824525857	24556.4393939395
10	0	12.1111111111111	14.7777777777778	0	0.787213864133781	0.766068042744636	0	37.2212048551196	72.0885936873497	8718.49074074076
11	0	13.1111111111111	17.7777777777778	0	0.88762911750886	0.856750496030506	0	32.2717977588658	68.4593082697078	2248.6814516129
12	0	16.8888888888889	19.7777777777778	0	0.674727014452198	0.487936563719953	0	30.8100439235558	71.504608962981	15978
13	6.44444444444444	11.3333333333333	12.6666666666667	0.658604435003555	0.823836941203574	0.725461665714333	42.8669931742667	44.7013284392601	70.8339188682493	32845.8548387096
14	0	22.7777777777778	21.1111111111111	0	0.535095190065467	0.503036532479756	0	31.3714545659785	72.9218825368837	25730.1433823529
15	9.33333333333333	16.1111111111111	12.5555555555556	0.624639017185091	0.672571850226312	0.680985153657985	38.9827342433062	38.9854304511516	69.1033541121915	38925.7638888891
16	4.55555555555556	11.5555555555556	34.6666666666667	0.538289975348766	0.645701317036636	0.374392152316665	39.2260616608049	43.0352652177713	70.9378335256339	18995.7205882351
17	0	25	24.1111111111111	0	0.509025839734833	0.426271765545013	0	30.0321615842909	72.9432986947669	20710.5916666667
18	10.1111111111111	18	18.4444444444444	0.456536571555374	0.541788679624401	0.489877981866783	35.5233223609751	34.5852081235302	73.2559513400049	34354.3796296295
19	0	22.6666666666667	23.8888888888889	0	0.412742777526773	0.408546740668927	0	35.3646742166655	73.3847605818532	20595.4848484848
20	8.11111111111111	13	12.6666666666667	0.709048334453221	0.800723718844012	0.650024156261574	39.6154294469367	41.2388246944097	69.4464259270154	39858.8518518517
21	5.44444444444444	8.66666666666667	10.8888888888889	0.875881643768931	0.800108008116561	0.742918474226114	42.1904035052889	45.1747404211761	75.2880332397843	18328.6810344827
22	0	19	17.5555555555556	0	0.486814883461176	0.464014934212475	0	37.5053681702432	73.3653555667697	24529.0571428573
23	8.66666666666667	18.6666666666667	21.7777777777778	0.591334745137755	0.621234642890612	0.618305693414302	34.276137973198	36.0796421503211	70.0719894074156	36047.081081081
24	5.22222222222222	18.4444444444444	14.5555555555556	0.743685228353406	0.748435263856887	0.650806460144478	31.1891307838974	32.5028483737104	70.3815994090227	26421.6572580644
25	9.22222222222222	16.3333333333333	17.6666666666667	0.392759586467271	0.455140037517802	0.457906115315001	36.1379717947642	38.8215487939816	74.6972148480198	28173.4499999999
26	2.66666666666667	11.8888888888889	15.4444444444444	0.654653670707977	0.630679005413913	0.410491650589038	31.0395669516973	36.1123003671785	72.4617661368385	23806.80859375
27	15.4444444444444	23.6666666666667	24.6666666666667	0.37281623495351	0.473964663030353	0.517821607879626	36.3236719232468	35.9279507793443	68.6821436309537	91190.9249999995
28	0	19.3333333333333	17.6666666666667	0	0.67198201845087	0.597082067085779	0	31.2405075761077	71.2989919317139	23816.318548387
29	18.4444444444444	28.5555555555556	28.8888888888889	0.338209974580304	0.429362031942226	0.425911623993299	35.0200774437066	34.7125861152584	67.6313442751297	120257.894736843
