F:\AMNIS_data\pBGT-Bet-Hedging\plasmid\day-3_LB_pBGT\rep-2\B12-noBF.daf
All

Object Number	Area_M01	Area_M02	Area_M04	Aspect Ratio_M01	Aspect Ratio_M02	Aspect Ratio_M04	Gradient RMS_M01_Ch01	Gradient RMS_M02_Ch02	Gradient RMS_M04_Ch04	Intensity_MC_Ch02
0	6.88888888888889	14	8	0.631945964494495	0.699641292356176	0.684729557438754	35.4668928983305	36.5054770465881	35.6299831811916	21236.1617647059
1	17.5555555555556	30	16.7777777777778	0.649273394250446	0.796196672600489	0.730023120437943	31.6172802628761	31.600742786357	32.9656269525308	85179.6785714283
2	9.22222222222222	23.4444444444444	11.7777777777778	0.760616151087673	0.748093847379335	0.716214837994483	26.1381071354712	29.2363874520554	28.771333338193	37198.7804054056
3	8	16	10	0.436188076105904	0.556039006403627	0.504341838261073	38.7776734174882	39.9297007736325	38.7785123940986	29892.3963414634
4	6.88888888888889	14.2222222222222	7.33333333333333	0.870790112845292	0.896268588495626	0.800307913710884	33.668951209015	34.8686712584936	35.8068268022975	18108.625
5	7.66666666666667	15.5555555555556	10	0.508562994925761	0.69484837992272	0.595435175769698	38.1386029732502	38.0591861391536	39.0810296745881	32868.6484375
6	0	11.3333333333333	0	0	0.83932103110431	0	0	40.0578408865522	0	7095.39189189188
7	0	21.2222222222222	7.88888888888889	0	0.748653300022908	0.770772767031293	0	31.6478294066016	33.080614518223	17880.640625
8	0	17.6666666666667	0	0	0.890932237008652	0	0	32.7957109808855	0	14422.453125
9	0	9.22222222222222	0	0	0.659026103833769	0	0	44.2812095426733	0	10263.3706896552
10	8	17.6666666666667	8.66666666666667	0.393258761240865	0.454351367519903	0.327266539779944	40.0398491342739	40.8972385743608	41.1008275221438	35390.6891891891
11	11.5555555555556	21.1111111111111	11.1111111111111	0.93771966854913	0.966848163974544	0.918938070336551	33.1740428902137	32.5587302791707	33.6653334239015	43423.2025862067
12	5.77777777777778	10.4444444444444	6.55555555555555	0.693175074203134	0.751911350605865	0.664869945500471	40.5798352528493	42.9173961393354	44.1242318990329	22585.8680555555
13	0	13.3333333333333	0	0	0.842847165034019	0	0	36.537455586405	0	9438.04166666666
14	0	17	0	0	0.558375273586363	0	0	37.3605497519425	0	13355.4807692308
15	6.55555555555555	13.6666666666667	5.44444444444444	0.519400228850459	0.615412564128685	0.480905856240197	35.5705895190848	36.9889543643118	36.6752815162037	17800.5291666666
16	0	27.5555555555556	0	0	0.612197548097023	0	0	29.3402544273474	0	16146.0256410257
17	0	12.5555555555556	0	0	0.778734501291239	0	0	37.8131554883919	0	13933.3810975609
18	9.33333333333333	19.7777777777778	8.77777777777778	0.67460545085493	0.717960041720532	0.694071456396501	30.8709784027349	31.360134642346	30.861242839117	29199.03125
19	9.22222222222222	20.4444444444444	9.66666666666667	0.488178314368008	0.596263858662328	0.487966313950913	32.041602840627	33.0953588716256	34.340458450943	27397.2424242424
20	0	14.5555555555556	0	0	0.779222074912763	0	0	35.3020867363398	0	14543.358974359
21	9.88888888888889	18.6666666666667	11.7777777777778	0.430393591696873	0.544266650617244	0.455691892141846	35.7032721940033	37.5251303550981	37.3031551740562	42406.2720588233
22	7.22222222222222	13	7.66666666666667	0.613750227400514	0.708006488259406	0.614889598973319	38.9609424873397	40.8093679969911	41.0621948563183	29966.9324324324
23	17	34.2222222222222	12.2222222222222	0.81689721901158	0.947609192239923	0.967658570813183	32.5709435050239	32.8151398065969	35.1974553098061	90959.1025641021
24	15.4444444444444	24.4444444444444	16	0.799870762388366	0.835726078227965	0.874592636445033	29.3734654305617	28.3568061789442	28.522645122463	46788.8513513516
25	0	16.7777777777778	0	0	0.72696715916104	0	0	32.1688367192604	0	8615.43214285714
