Object Number	Area_M02	Area_M04	Aspect Ratio_M02	Aspect Ratio_M04	Gradient RMS_M02_Ch02	Gradient RMS_M04_Ch04	Intensity_MC_Ch02	Intensity_MC_Ch04
0	0	53.8888888888889	0	0.458325495859687	0	65.2980615118933	17.4249999999997	-477.524999999988
1	0	24	0	0.952552723457984	0	60.5299891650299	6.875	-239.09375
2	0	10.3333333333333	0	0.510443566882621	0	70.7053193389277	59.5509259259259	-122.268518518525
3	0	58.4444444444444	0	0.45610207028258	0	60.7045429423595	76.4431818181797	-568.843181818159
4	0	16.5555555555556	0	0.580881008927505	0	75.7683531029588	-0.525000000000041	-133.600000000003
5	0	64.6666666666667	0	0.649332933733004	0	63.5814557242612	286.049999999994	-786.400000000017
6	0	63.6666666666667	0	0.39223509375815	0	60.3025276044934	68.4285714285742	-418.952380952411
7	0	44.1111111111111	0	0.810395539408235	0	60.5070751996905	113.741477272728	-813.306818181814
8	0	46.7777777777778	0	0.382080857330638	0	61.3634623970177	41.3724489795916	-152.614795918352
9	0	27.1111111111111	0	0.575731486710313	0	70.7286952459403	152.868055555556	-182.53472222223
10	0	113.333333333333	0	0.358777432891271	0	63.9457900175877	346.038461538465	-2108.26923076923
11	0	38.6666666666667	0	0.682368473249915	0	68.5640425024732	100.494186046512	-172.098837209318
12	0	15.7777777777778	0	0.800107337743687	0	70.9252859867116	59.734375	-69.765625
13	0	33.6666666666667	0	0.523149106664917	0	66.5019163581122	-197.923076923079	155.288461538471
14	0	61.1111111111111	0	0.490705535981088	0	64.4013237089127	164.266826923074	-86.0841346154061
15	0	42.7777777777778	0	0.484568840763897	0	68.865699525854	-145.764705882352	-627.235294117647
16	0	42.5555555555556	0	0.429554260959491	0	69.392231370031	38.9999999999992	77.4375000000057
17	0	41.3333333333333	0	0.587825048294219	0	65.0138916924802	74.7102272727267	-601.715909090946
18	0	50.2222222222222	0	0.654234187473991	0	66.2277929019089	85.0609756097559	-428.682926829298
19	0	42.6666666666667	0	0.484961301598084	0	65.4346465262141	-13.8478260869569	69.9021739130575
20	0	63.2222222222222	0	0.438085109255343	0	60.6094498752789	417.390243902435	-503.585365853651
21	0	35.4444444444444	0	0.466842758209676	0	60.0424837667945	125.257575757574	-523.215909090884
22	0	49	0	0.458217431295167	0	62.4140769315192	-222.791666666668	-732.054487179493
23	0	52	0	0.513930586535544	0	59.2761347145155	-144.388888888891	-1017.91111111109
24	0	40.4444444444444	0	0.422663767753675	0	69.7938531216311	101.58108108108	2.391891891878
25	0	15.1111111111111	0	0.812148118639016	0	66.9013432688072	76.8548387096779	-165.306451612895
26	0	47.5555555555556	0	0.481532949362275	0	61.825464605962	112.4	-78.8392857142974
27	43.2222222222222	50	0.831299042375096	0.672345840178581	19.9204795247021	63.02966952309	32149.8670212763	707.819148936203
28	0	41.3333333333333	0	0.536406938677621	0	63.7885483952843	180.250000000001	-82.25
29	0	64.8888888888889	0	0.670590480135751	0	64.8090687381173	200.005813953489	-68.9040697674623
30	0	19.1111111111111	0	0.873330914703206	0	69.1381979260839	83.4545454545456	-228.333333333344
31	0	53.8888888888889	0	0.545848655218021	0	61.481259351171	-77.2647058823527	-502.852941176441
32	0	45.5555555555556	0	0.730550037471509	0	71.5692977761389	195.339743589744	168.221153846173
33	0	42.4444444444444	0	0.595039705457303	0	63.6426463948449	34.3571428571432	-497.133928571419
34	0	48.5555555555556	0	0.439024636670188	0	64.6225499863519	-191.553571428575	-155.446428571448
35	0	65.6666666666667	0	0.743626388316323	0	67.4130597620593	155.102040816327	-145.994897959223
36	0	48.1111111111111	0	0.54990170033069	0	69.4793769577138	188.666666666666	-181.999999999993
37	0	51.4444444444444	0	0.366907314630932	0	66.7127715626015	32.0641025641035	-147.637820512843
38	0	44.7777777777778	0	0.367095860226269	0	67.4133006758991	10.6818181818196	-884.568181818199
39	0	41.6666666666667	0	0.424607334231322	0	71.9721170777171	-5.46052631578829	-745.065789473701
40	0	53.4444444444444	0	0.430254280177541	0	62.4662164452761	55.1875	-785.756944444415
41	0	55.5555555555556	0	0.689887947428472	0	66.1241838997188	140.794642857142	-674.461309523822
42	0	40.5555555555556	0	0.581536070478715	0	67.8316872804625	200.177325581394	7.5668604651346
43	0	65.8888888888889	0	0.447717596628094	0	67.7030369793949	319.669811320753	-256.78301886791
44	0	73.7777777777778	0	0.686727123689815	0	66.2395583725936	210.34433962264	-188.422169811304
45	28.4444444444444	60.2222222222222	0.706786832099615	0.833790284980497	25.9705406236264	66.5481192610984	47820.4285714277	1321.28571428571
46	0	67.5555555555555	0	0.680163616965317	0	66.2621020337026	-11.9166666666676	-764.083333333346
47	0	71.3333333333333	0	0.472161608676965	0	67.2412068665731	50.3617021276582	-452.223404255314
48	0	23.8888888888889	0	0.692124379904084	0	67.0761701905374	9.28676470588264	-175.727941176458
49	0	48.2222222222222	0	0.437521602137878	0	61.7177437830479	71.9054054054049	-370.378378378387
50	0	49.5555555555556	0	0.64968318975303	0	68.3740480357048	-275.551020408166	-741.494897959207
51	0	42.3333333333333	0	0.63019767745796	0	61.7800254322541	164.94117647059	-513.176470588242
52	0	53.2222222222222	0	0.661091335805609	0	65.0002469837001	-3.13043478260926	-319.826086956508
53	0	38.1111111111111	0	0.639343472097868	0	67.2798614793038	34.8388157894734	89.7039473684256
54	0	58.5555555555556	0	0.812733358265394	0	65.8429069679099	142.527500000002	-836.772499999992
55	0	21.6666666666667	0	0.814867863792024	0	65.4901320868017	50.1287878787881	-84.9469696969586
56	0	38.2222222222222	0	0.801493417548112	0	70.3622667237094	-26.8720930232559	-499.581395348829
57	0	24.4444444444444	0	0.704195864433073	0	64.4073219608371	147.432432432431	-26.7297297297227
58	0	18.2222222222222	0	0.559153717352603	0	70.7364048508827	15.8125	-377.013157894745
59	0	52.2222222222222	0	0.426796256372322	0	64.9335977664144	-135.725000000002	-205.027272727257
60	0	71.8888888888889	0	0.64321450396461	0	64.6912665290307	22.1029411764718	-997.764705882339
61	60.3333333333333	97	0.979210660946357	0.735883917996086	19.9941743080277	61.4255475049421	153629.384999998	4130.59999999998
62	0	38.3333333333333	0	0.645770410735738	0	68.1340927370032	-2.78779069767457	-459.494186046534
63	0	45.1111111111111	0	0.539278766392596	0	64.6151353465132	31.5750000000006	-249.92499999999
64	0	54.6666666666667	0	0.718455593046616	0	62.5013589728591	-46.3023255813942	-365.558139534867
65	0	58	0	0.748223229194494	0	62.0707857940875	172.454545454542	-332.659090909116
66	0	42	0	0.472847235251502	0	65.1793862566722	-123.874999999999	-131.291666666648
67	0	58.5555555555556	0	0.665031893262855	0	60.5693465759427	286.997093023262	-829.517441860482
68	0	12.7777777777778	0	0.66390205614732	0	76.8513981351632	-23.6351351351351	-201.912162162178
69	0	53.8888888888889	0	0.404996350950699	0	62.3168610199771	31.4583333333342	-467.010416666659
70	0	44.6666666666667	0	0.686690823165154	0	67.0784924042553	120.091463414633	-631.353658536591
71	0	41	0	0.61749552484288	0	61.003614692736	85.2881944444438	-229.121527777799
72	0	19.2222222222222	0	0.511705635359059	0	74.6575975335912	-37.3500000000005	-135.900000000014
73	0	66.8888888888889	0	0.559400804715747	0	61.1549047204752	102.098684210527	-624.44736842107
74	0	50.2222222222222	0	0.446633986342162	0	64.709717158124	39.9776785714279	657.203125
75	0	18.8888888888889	0	0.795495918673012	0	67.4265136337393	83.3125	-61.9821428571456
76	0	37.2222222222222	0	0.438956726824502	0	70.793394293738	106.786184210526	-120.023026315792
77	0	9.33333333333333	0	0.837705728142342	0	72.1985310446323	45.5517241379311	-236.75862068966
78	0	41.3333333333333	0	0.790522643098738	0	66.8628716070884	161.555555555557	-337.722222222233
79	0	51.6666666666667	0	0.56327623288215	0	64.1924781259268	1.41176470588243	-675.568627450986
80	0	42	0	0.54403778435175	0	67.6041738589108	129.457446808511	-211.829787234026
81	0	81	0	0.622976151461554	0	63.6144948541903	-227.733333333339	-655.813888888832
82	0	59.8888888888889	0	0.299388353854809	0	64.2689349702813	-23.2000000000008	587.8125
83	0	39.5555555555556	0	0.588743663755956	0	60.6595064659171	36.4324324324335	-494.378378378382
84	0	55.4444444444444	0	0.37466879799001	0	62.6437384950406	274.491525423729	-832.762711864434
85	0	61.6666666666667	0	0.469919064594793	0	60.6813712764607	38.383333333334	-57.4444444444268
