

Software Version	2.09.1



Experiment File Path:	C:\Users\Public\Documents\Experiments\Charly\pBGT-Sulbactam-gradient-on-LBAMP2k_rowC.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Charly\PBGT-BH-24h.prt



Plate Number	Plate 1
Date	13/05/2019
Time	18:52:34
Reader Type:	ELx808
Reader Serial Number:	Unknown
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Set Temperature	Setpoint 37°C
	Preheat before moving to next step
Start Kinetic	Runtime 24:00:00 (HH:MM:SS), Interval 0:20:00, 73 Reads
    Shake	Fast, 0:30 (MM:SS)
    Read	OD
	Absorbance Endpoint
	Full Plate
	Wavelengths:  630
	Read Speed: Normal
End Kinetic	

OD:630

Time	T° OD:630	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:00:00	36.9	0.081	0.082	0.083	0.088	0.092	0.091	0.094	0.087	0.095	0.083	0.082	0.086	0.092	0.084	0.079	0.079	0.078	0.088	0.079	0.079	0.079	0.079	0.078	0.090	0.086	0.084	0.091	0.093	0.085	0.083	0.094	0.087	0.085	0.082	0.085	0.084	0.093	0.080	0.079	0.081	0.079	0.083	0.078	0.079	0.079	0.079	0.079	0.080	0.106	0.084	0.098	0.086	0.091	0.088	0.090	0.084	0.091	0.089	0.092	0.091	0.080	0.078	0.077	0.077	0.078	0.078	0.077	0.079	0.082	0.078	0.079	0.078	0.079	0.079	0.078	0.083	0.078	0.079	0.078	0.078	0.079	0.078	0.078	0.078	0.079	0.079	0.079	0.079	0.079	0.079	0.078	0.078	0.079	0.078	0.079	0.082
0:20:00	36.9	0.083	0.083	0.085	0.090	0.093	0.092	0.095	0.088	0.097	0.085	0.084	0.087	0.092	0.084	0.079	0.079	0.080	0.086	0.079	0.079	0.079	0.079	0.079	0.089	0.082	0.086	0.091	0.093	0.086	0.083	0.095	0.087	0.084	0.081	0.083	0.083	0.093	0.080	0.079	0.081	0.079	0.083	0.078	0.079	0.079	0.079	0.079	0.081	0.108	0.087	0.100	0.087	0.092	0.089	0.091	0.085	0.092	0.089	0.094	0.093	0.080	0.078	0.077	0.077	0.077	0.077	0.077	0.079	0.082	0.078	0.079	0.078	0.079	0.079	0.078	0.083	0.078	0.079	0.079	0.078	0.079	0.078	0.078	0.078	0.079	0.079	0.079	0.079	0.079	0.079	0.078	0.079	0.079	0.079	0.079	0.082
0:40:00	36.9	0.088	0.088	0.089	0.091	0.097	0.095	0.098	0.092	0.102	0.088	0.088	0.091	0.092	0.084	0.079	0.079	0.080	0.085	0.079	0.079	0.079	0.079	0.079	0.089	0.084	0.091	0.093	0.097	0.091	0.085	0.097	0.086	0.083	0.081	0.083	0.083	0.093	0.080	0.079	0.081	0.079	0.083	0.078	0.079	0.079	0.079	0.079	0.080	0.109	0.091	0.104	0.091	0.095	0.091	0.094	0.087	0.095	0.092	0.097	0.095	0.080	0.078	0.077	0.077	0.077	0.077	0.077	0.079	0.082	0.078	0.079	0.078	0.079	0.079	0.078	0.083	0.078	0.079	0.079	0.078	0.079	0.078	0.078	0.078	0.079	0.079	0.079	0.079	0.079	0.079	0.078	0.079	0.079	0.079	0.079	0.082
1:00:00	37.0	0.099	0.101	0.099	0.097	0.106	0.100	0.103	0.095	0.115	0.096	0.100	0.098	0.092	0.084	0.078	0.079	0.081	0.084	0.079	0.079	0.079	0.079	0.079	0.089	0.088	0.104	0.099	0.103	0.102	0.089	0.100	0.086	0.082	0.080	0.083	0.083	0.093	0.080	0.079	0.081	0.079	0.083	0.078	0.079	0.079	0.079	0.079	0.080	0.114	0.100	0.113	0.099	0.099	0.097	0.100	0.091	0.100	0.097	0.103	0.102	0.079	0.078	0.077	0.077	0.077	0.077	0.077	0.079	0.082	0.078	0.079	0.078	0.079	0.079	0.078	0.083	0.078	0.079	0.079	0.078	0.079	0.078	0.078	0.078	0.079	0.079	0.079	0.079	0.079	0.079	0.078	0.079	0.079	0.079	0.079	0.082
1:20:00	37.0	0.119	0.123	0.115	0.107	0.120	0.111	0.114	0.107	0.135	0.110	0.125	0.111	0.092	0.084	0.078	0.079	0.081	0.084	0.079	0.079	0.079	0.079	0.079	0.089	0.092	0.124	0.107	0.115	0.115	0.095	0.102	0.086	0.083	0.081	0.083	0.083	0.093	0.080	0.079	0.081	0.079	0.083	0.078	0.079	0.079	0.079	0.079	0.080	0.124	0.114	0.128	0.113	0.109	0.106	0.115	0.099	0.109	0.106	0.112	0.111	0.080	0.078	0.077	0.077	0.077	0.077	0.077	0.079	0.082	0.078	0.079	0.078	0.079	0.079	0.078	0.083	0.078	0.079	0.078	0.078	0.079	0.078	0.078	0.078	0.079	0.079	0.079	0.079	0.079	0.079	0.078	0.078	0.079	0.078	0.079	0.082
1:40:00	36.9	0.141	0.149	0.135	0.120	0.136	0.125	0.128	0.122	0.158	0.126	0.155	0.126	0.092	0.083	0.078	0.079	0.081	0.083	0.079	0.079	0.079	0.079	0.078	0.089	0.093	0.135	0.121	0.125	0.118	0.102	0.104	0.086	0.082	0.080	0.082	0.082	0.093	0.080	0.079	0.081	0.079	0.083	0.078	0.079	0.079	0.079	0.079	0.080	0.139	0.135	0.150	0.133	0.124	0.119	0.137	0.111	0.122	0.119	0.125	0.122	0.080	0.078	0.077	0.077	0.077	0.077	0.077	0.079	0.082	0.078	0.079	0.078	0.079	0.079	0.078	0.083	0.078	0.079	0.078	0.078	0.079	0.078	0.078	0.078	0.079	0.079	0.079	0.079	0.078	0.078	0.078	0.078	0.078	0.078	0.079	0.082
2:00:00	36.9	0.169	0.176	0.156	0.136	0.153	0.141	0.145	0.141	0.184	0.147	0.189	0.144	0.092	0.084	0.078	0.079	0.081	0.083	0.079	0.079	0.079	0.079	0.078	0.088	0.092	0.147	0.139	0.136	0.128	0.105	0.106	0.087	0.083	0.080	0.083	0.083	0.093	0.080	0.079	0.081	0.079	0.083	0.078	0.079	0.079	0.079	0.079	0.080	0.155	0.160	0.176	0.156	0.141	0.138	0.162	0.126	0.138	0.135	0.143	0.137	0.079	0.078	0.077	0.077	0.077	0.077	0.077	0.079	0.082	0.078	0.079	0.078	0.079	0.079	0.078	0.083	0.078	0.079	0.079	0.078	0.079	0.078	0.078	0.078	0.079	0.079	0.079	0.079	0.079	0.079	0.078	0.079	0.079	0.079	0.079	0.082
2:20:00	36.9	0.199	0.205	0.178	0.155	0.173	0.162	0.165	0.160	0.212	0.168	0.225	0.164	0.092	0.084	0.078	0.079	0.081	0.083	0.079	0.079	0.079	0.079	0.079	0.088	0.092	0.164	0.159	0.148	0.146	0.112	0.113	0.089	0.084	0.081	0.083	0.083	0.093	0.080	0.079	0.081	0.079	0.083	0.078	0.079	0.079	0.079	0.079	0.081	0.179	0.190	0.205	0.186	0.163	0.160	0.187	0.146	0.158	0.155	0.165	0.157	0.079	0.078	0.077	0.077	0.077	0.077	0.077	0.079	0.082	0.078	0.079	0.078	0.079	0.079	0.078	0.083	0.078	0.079	0.079	0.078	0.079	0.078	0.078	0.078	0.079	0.079	0.079	0.079	0.079	0.079	0.078	0.079	0.079	0.079	0.079	0.082
2:40:00	36.9	0.228	0.233	0.200	0.175	0.194	0.182	0.186	0.181	0.239	0.189	0.256	0.183	0.092	0.084	0.078	0.079	0.081	0.083	0.079	0.079	0.079	0.079	0.079	0.088	0.095	0.190	0.178	0.168	0.161	0.122	0.120	0.091	0.084	0.081	0.083	0.083	0.093	0.080	0.079	0.081	0.079	0.083	0.078	0.079	0.079	0.079	0.079	0.081	0.200	0.222	0.234	0.216	0.185	0.182	0.213	0.168	0.179	0.177	0.189	0.181	0.080	0.078	0.077	0.077	0.077	0.077	0.077	0.079	0.082	0.078	0.079	0.078	0.079	0.079	0.078	0.083	0.078	0.079	0.079	0.078	0.079	0.078	0.078	0.078	0.079	0.079	0.079	0.079	0.079	0.079	0.078	0.079	0.079	0.079	0.079	0.083
3:00:00	36.9	0.254	0.258	0.219	0.195	0.215	0.203	0.205	0.201	0.268	0.211	0.286	0.202	0.092	0.084	0.078	0.079	0.081	0.082	0.079	0.079	0.079	0.079	0.079	0.088	0.100	0.215	0.199	0.196	0.179	0.135	0.128	0.094	0.084	0.081	0.083	0.083	0.093	0.080	0.079	0.081	0.079	0.083	0.078	0.079	0.079	0.079	0.079	0.081	0.222	0.252	0.265	0.246	0.208	0.205	0.237	0.189	0.201	0.198	0.213	0.204	0.079	0.078	0.077	0.077	0.077	0.077	0.077	0.079	0.082	0.078	0.079	0.078	0.079	0.079	0.078	0.083	0.078	0.079	0.079	0.078	0.079	0.078	0.078	0.078	0.079	0.079	0.079	0.079	0.079	0.079	0.078	0.079	0.079	0.079	0.079	0.082
