 	id	imageGFP	imageDsRed	pos	frame	roi_label	GFP	DsRed
1	0	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n0_x480_y365	122.460	121.737
2	1	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n1_x488_y364	122.098	121.585
3	2	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n2_x495_y360	119.882	119.412
4	3	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n3_x467_y354	120.815	119.944
5	4	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n4_x370_y347	123.107	119.300
6	5	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n5_x332_y353	121.473	119.784
7	6	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n6_x435_y342	120.455	119.522
8	7	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n7_x400_y355	122.344	123.589
9	8	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n8_x363_y348	121.385	119.972
10	9	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n9_x387_y343	121.923	119.516
11	10	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n10_x444_y342	120.572	118.250
12	11	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n11_x379_y338	125.580	118.008
13	12	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n12_x352_y339	121.607	117.991
14	13	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n13_x484_y333	120.646	116.625
15	14	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n14_x477_y337	121.911	116.661
16	15	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n15_x398_y338	121.958	122.639
17	16	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n16_x341_y331	120.367	117.675
18	17	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n17_x428_y333	120.805	117.033
19	18	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n18_x465_y333	121.245	116.294
20	19	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n19_x412_y334	121.981	118.291
21	20	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n20_x332_y334	121.205	116.880
22	21	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n21_x494_y323	120.091	115.554
23	22	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n22_x374_y323	125.278	115.923
24	23	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n23_x314_y323	118.612	117.250
25	24	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n24_x414_y310	121.945	115.564
26	25	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n25_x393_y314	123.403	115.538
27	26	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n26_x467_y317	121.260	116.365
28	27	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n27_x403_y316	120.723	118.495
29	28	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n28_x479_y314	121.746	115.041
30	29	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n29_x446_y305	120.793	116.690
31	30	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n30_x431_y308	121.121	114.682
32	31	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n31_x376_y303	123.810	114.771
33	32	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n32_x482_y303	120.943	114.203
34	33	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n33_x424_y301	121.602	114.695
35	34	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n34_x385_y303	122.611	115.516
36	35	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n35_x315_y303	119.000	115.939
37	36	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n36_x495_y289	119.891	113.133
38	37	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n37_x487_y287	120.715	113.458
39	38	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n38_x459_y296	121.621	114.942
40	39	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n39_x407_y293	122.254	115.093
41	40	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n40_x355_y286	120.258	115.407
42	41	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n41_x464_y290	121.341	114.364
43	42	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n42_x402_y285	123.120	114.563
44	43	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n43_x443_y280	120.080	115.425
45	44	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n44_x395_y281	122.946	113.964
46	45	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n45_x475_y269	121.553	113.888
47	46	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n46_x381_y272	124.444	114.259
48	47	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n47_x436_y273	121.538	113.943
49	48	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n48_x466_y267	122.503	114.035
50	49	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n49_x391_y270	121.638	113.921
51	50	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n50_x338_y270	120.122	114.136
52	51	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n51_x363_y269	120.822	113.975
53	52	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n52_x347_y265	120.020	114.678
54	53	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n53_x370_y265	121.102	114.824
55	54	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n54_x430_y263	122.584	114.461
56	55	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n55_x495_y246	121.095	112.650
57	56	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n56_x450_y258	120.927	116.718
58	57	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n57_x421_y258	122.784	114.041
59	58	MGGT-AMP-Pulse_xy07_GFP_016.tif	MGGT-AMP-Pulse_xy07_DsRed_016.tif	xy07	016	roi_f16_n58_x405_y256	121.617	115.271
