 	id	imageGFP	imageDsRed	pos	frame	roi_label	GFP	DsRed
1	0	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n0_x307_y401	239.000	99.000
2	1	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n1_x296_y401	241.193	98.578
3	2	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n2_x226_y403	288.912	98.794
4	3	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n3_x208_y400	206.238	99.058
5	4	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n4_x238_y382	174.169	98.654
6	5	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n5_x264_y372	203.932	98.406
7	6	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n6_x298_y387	247.745	98.363
8	7	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n7_x185_y387	187.752	98.482
9	8	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n8_x288_y388	237.697	98.355
10	9	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n9_x382_y386	180.173	98.115
11	10	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n10_x322_y388	207.572	98.371
12	11	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n11_x278_y373	189.780	98.476
13	12	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n12_x437_y375	177.679	98.017
14	13	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n13_x329_y357	175.563	98.320
15	14	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n14_x396_y372	189.515	97.954
16	15	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n15_x300_y369	234.543	98.114
17	16	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n16_x340_y358	183.848	98.314
18	17	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n17_x182_y365	216.820	98.234
19	18	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n18_x301_y347	180.875	98.679
20	19	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n19_x436_y361	197.841	98.212
21	20	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n20_x468_y358	198.248	98.368
22	21	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n21_x238_y337	204.998	98.058
23	22	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n22_x324_y348	199.956	98.368
24	23	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n23_x274_y353	202.750	98.241
25	24	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n24_x308_y353	243.000	98.049
26	25	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n25_x478_y345	220.706	98.227
27	26	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n26_x407_y353	211.368	98.316
28	27	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n27_x139_y346	195.994	98.223
29	28	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n28_x369_y345	214.841	98.235
30	29	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n29_x446_y352	209.138	98.384
31	30	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n30_x177_y346	213.542	98.366
32	31	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n31_x162_y341	180.388	98.306
33	32	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n32_x187_y340	246.621	98.264
34	33	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n33_x418_y344	269.546	98.151
35	34	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n34_x389_y336	240.571	98.164
36	35	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n35_x276_y324	225.112	97.951
37	36	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n36_x452_y332	216.090	98.236
38	37	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n37_x320_y329	196.007	98.531
39	38	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n38_x434_y337	226.868	98.476
40	39	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n39_x367_y332	256.759	98.051
41	40	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n40_x307_y325	245.694	98.005
42	41	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n41_x214_y317	175.236	98.347
43	42	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n42_x339_y321	262.471	98.245
44	43	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n43_x140_y313	195.892	98.152
45	44	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n44_x403_y327	257.610	98.006
46	45	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n45_x351_y320	191.697	98.492
47	46	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n46_x425_y322	173.437	98.605
48	47	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n47_x453_y315	261.661	98.198
49	48	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n48_x387_y319	258.663	98.104
50	49	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n49_x369_y313	278.068	98.162
51	50	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n50_x295_y315	200.479	98.007
52	51	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n51_x392_y310	274.112	98.172
53	52	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n52_x217_y296	197.528	98.505
54	53	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n53_x183_y297	190.631	97.840
55	54	pBGT-AMP-Pulse_xy03_GFP_023.tif	pBGT-AMP-Pulse_xy03_DsRed_023.tif	xy03	023	roi_f23_n54_x475_y308	170.108	98.413
